Keyword,Expected,Algorithm Accuracy Result,Priority Number,Precision,Recall,Average Precision
yok,yôk,0.75,1,0.20,0.20,1.00
yoh,yôh,0.75,1,0.10,0.10,1.00
weng,wéng,0.80,1,0.20,0.20,1.00
weh,wèh,0.75,1,0.10,0.10,1.00
wase,wasé,0.80,1,0.20,0.20,1.00
wareh,waréh,0.83,1,0.30,0.30,1.00
wajek,wajék,0.83,1,0.10,0.10,1.00
wajeb,wajéb,0.83,1,0.10,0.10,1.00
utom,utôm,0.80,1,0.30,0.30,1.00
utoh,utôh,0.80,1,0.20,0.20,1.00
MAP Results:,,,,,,1.00
MAP Percentage Accuracy:,,,,,,100.0%
