Keyword,Expected,Algorithm Accuracy Result,Priority Number,Precision,Recall,Average Precision
parlemen,parlemèn,0.96,1,1.00,1.00,1.00
parek,parék,0.91,2,1.00,1.00,1.00
pante,panté,0.92,2,1.00,1.00,1.00
pangulee,pangulèe,0.96,1,1.00,1.00,1.00
panggong,panggông,0.96,1,1.00,1.00,1.00
pancopet,pancopèt,0.96,1,1.00,1.00,1.00
palet,palét,0.91,4,1.00,1.00,1.00
paleng,palông,0.92,2,1.00,1.00,1.00
paleh,paléh,0.91,3,1.00,1.00,1.00
paket,pakèt,0.91,1,1.00,1.00,1.00
meulilet,meulilét,0.96,1,1.00,1.00,1.00
meulek,meulakèe,0.95,1,1.00,1.00,1.00
meulapeh-lapeh,meulapéh-lapéh,0.95,1,1.00,1.00,1.00
meulakee,meulakèe,0.96,1,1.00,1.00,1.00
meulabo,meulabô,0.95,1,1.00,1.00,1.00
meuklep,meuklèp,0.95,1,1.00,1.00,1.00
meukilok-kilok,meukilôk-kilôk,0.95,1,1.00,1.00,1.00
meukeutupep,meukeutupèp,0.97,1,1.00,1.00,1.00
eunchok,eunchôk,0.95,1,1.00,1.00,1.00
pena,peuancô,0.89,3,1.00,1.00,1.00
pe,peuék,0.84,4,1.00,1.00,1.00
patot,patôt,0.91,4,1.00,1.00,1.00
patong,patông,0.92,1,1.00,1.00,1.00
patee,patèe,0.91,4,1.00,1.00,1.00
pasokan,pasôkan,0.93,1,1.00,1.00,1.00
paseh,pasèh,0.91,2,1.00,1.00,1.00
parot,parôt,0.91,2,1.00,1.00,1.00
pareksa,paréksa,0.93,1,1.00,1.00,1.00
panton,pantôn,0.93,3,1.00,1.00,1.00
pansion,pansiôn,0.95,1,1.00,1.00,1.00
pangkee,pangkèe,0.95,2,1.00,1.00,1.00
panggoi,panggôi,0.95,1,1.00,1.00,1.00
pangeran,pangèran,0.95,1,1.00,1.00,1.00
pamplet,pamplét,0.95,1,1.00,1.00,1.00
palong,palông,0.92,2,1.00,1.00,1.00
palem,palém,0.91,3,1.00,1.00,1.00
palee,palèe,0.91,3,1.00,1.00,1.00
pake,paké,0.88,2,1.00,1.00,1.00
pajoh,pajôh,0.91,1,1.00,1.00,1.00
pade,padé,0.88,4,1.00,1.00,1.00
pacok,pacôk,0.91,1,1.00,1.00,1.00
pabrek,pabrék,0.93,1,1.00,1.00,1.00
on,sonèta,0.78,5,1.00,1.00,1.00
meukemah,meukèmah,0.95,2,1.00,1.00,1.00
meukawen,meukawén,0.96,1,1.00,1.00,1.00
meujuntee,meujuntèe,0.96,1,1.00,1.00,1.00
meuireng-ireng,meuiréng-iréng,0.95,1,1.00,1.00,1.00
meuikot,meuikôt,0.95,1,1.00,1.00,1.00
meuhoi,meuhôi,0.93,2,1.00,1.00,1.00
meugule,meugulé,0.95,1,1.00,1.00,1.00
mengreb,mengréb,0.95,1,1.00,1.00,1.00
meugeurupeng,meugeurupéng,0.97,1,1.00,1.00,1.00
meugampong,meugampông,0.97,1,1.00,1.00,1.00
meudrep-drep,meudrép-drép,0.94,1,1.00,1.00,1.00
meudesya,meudèsya,0.95,1,1.00,1.00,1.00
meucureh,meucuréh,0.96,1,1.00,1.00,1.00
meuceh,meucuréh,0.95,2,1.00,1.00,1.00
meubeude,meubeudé,0.96,1,1.00,1.00,1.00
meuato,meuatô,0.94,1,1.00,1.00,1.00
meuase,meuasé,0.94,2,1.00,1.00,1.00
meuampong,meuampông,0.96,1,1.00,1.00,1.00
meuadee,meuadèe,0.95,1,1.00,1.00,1.00
meu'en-meu'en,meu'èn-meu'én,0.94,1,1.00,1.00,1.00
merek,meulèk,0.86,3,1.00,1.00,1.00
men,mentèga,0.87,3,1.00,1.00,1.00
meja,meujamèe,0.87,2,1.00,1.00,1.00
meh,meuhôi,0.87,4,1.00,1.00,1.00
mbong,mbông,0.89,2,1.00,1.00,1.00
mateh,matéh,0.91,1,1.00,1.00,1.00
mate,maté,0.88,4,1.00,1.00,1.00
masineh,masinèh,0.95,1,1.00,1.00,1.00
orkeh,orkèh,0.91,1,1.00,1.00,1.00
ok,orkèh,0.82,3,1.00,1.00,1.00
meujareng,meujaréng,0.96,1,1.00,1.00,1.00
meujanggot,meujanggôt,0.97,1,1.00,1.00,1.00
meujamee,meujamèe,0.96,1,1.00,1.00,1.00
meuikot-ikot,meuikôt-ikôt,0.94,1,1.00,1.00,1.00
meuhimpon,meuhimpôn,0.96,1,1.00,1.00,1.00
meugule-gule,meugulé-gulé,0.94,1,1.00,1.00,1.00
mengrop-grop,mengrôp-grôp,0.94,1,1.00,1.00,1.00
meugogo,meugôgô,0.89,10,1.00,1.00,1.00
meuglong,meuglông,0.96,1,1.00,1.00,1.00
meugandeng,meugandéng,0.97,1,1.00,1.00,1.00
meudroh,meudrôh,0.95,2,1.00,1.00,1.00
meudeungong,meudeungông,0.97,1,1.00,1.00,1.00
meucatet,meucatèt,0.96,1,1.00,1.00,1.00
meubulee,meubulèe,0.96,1,1.00,1.00,1.00
meuangkot,meuangkôt,0.96,1,1.00,1.00,1.00
meuampong-ampong,meuampông-ampông,0.96,1,1.00,1.00,1.00
meuabee,meuabèe,0.95,1,1.00,1.00,1.00
meu'en,meu'èn,0.93,1,1.00,1.00,1.00
mete,menteuôt,0.87,3,1.00,1.00,1.00
mentega,mentèga,0.94,1,1.00,1.00,1.00
melodi,mèlodi,0.90,1,1.00,1.00,1.00
Mee,meusén,0.87,6,1.00,1.00,1.00
mee,meusén,0.87,6,1.00,1.00,1.00
mbon,mbôn,0.87,3,1.00,1.00,1.00
masen,masén,0.91,2,1.00,1.00,1.00
nyen,nyèn,0.87,1,1.00,1.00,1.00
naseb,naséb,0.91,2,1.00,1.00,1.00
musoh,musôh,0.91,1,1.00,1.00,1.00
musikben,musikbèn,0.96,1,1.00,1.00,1.00
mupalet,mupalét,0.95,1,1.00,1.00,1.00
munaph'ek,munaph'èk,0.96,1,1.00,1.00,1.00
mudek,mudèk,0.91,1,1.00,1.00,1.00
mubungkoh,mubungkôh,0.96,1,1.00,1.00,1.00
muboi-boi,mubôi-bôi,0.90,1,1.00,1.00,1.00
muble-ble,mublè-blé,0.91,1,1.00,1.00,1.00
mubeda,mubèda,0.92,2,1.00,1.00,1.00
mubalek,mubalék,0.95,1,1.00,1.00,1.00
mubae,mubaé,0.92,1,1.00,1.00,1.00
nyeh,nyèh,0.87,1,1.00,1.00,1.00
numboi,numbôi,0.93,1,1.00,1.00,1.00
neulet,neulét,0.93,1,1.00,1.00,1.00
nek,nèk,0.80,3,1.00,1.00,1.00
mustahe,mustahé,0.95,1,1.00,1.00,1.00
musem,musém,0.91,1,1.00,1.00,1.00
muphom,muphôm,0.93,1,1.00,1.00,1.00
mupake,mupaké,0.94,2,1.00,1.00,1.00
mungken,mungkén,0.95,1,1.00,1.00,1.00
mumee,rumbèe,0.94,4,1.00,1.00,1.00
muleh,mulèh,0.91,1,1.00,1.00,1.00
mubulee,mubulèe,0.95,1,1.00,1.00,1.00
mublet-blet,mublét-blét,0.93,1,1.00,1.00,1.00
mubee,rumbèe,0.94,3,1.00,1.00,1.00
mubareh,mubaréh,0.95,1,1.00,1.00,1.00
motel,motèl,0.91,1,1.00,1.00,1.00
modernisasi,modèrnisasi,0.96,1,1.00,1.00,1.00
milimete,milimètè,0.92,1,1.00,1.00,1.00
milek,milék,0.91,1,1.00,1.00,1.00
mewah,mèwah,0.88,1,1.00,1.00,1.00
meuurot,meuurôt,0.95,1,1.00,1.00,1.00
meuunyet,meuunyèt,0.96,1,1.00,1.00,1.00
meutumpok,meutumpôk,0.96,1,1.00,1.00,1.00
meutron,meutrôn,0.95,1,1.00,1.00,1.00
meuto-to,meutô-tô,0.90,4,1.00,1.00,1.00
meuthon,meuthôn,0.95,1,1.00,1.00,1.00
menteuot,menteuôt,0.96,1,1.00,1.00,1.00
meutapeh,meutapéh,0.96,1,1.00,1.00,1.00
meutanggoh,meutanggôh,0.97,1,1.00,1.00,1.00
mantel,mantèl,0.93,1,1.00,1.00,1.00
mando,mandô,0.92,1,1.00,1.00,1.00
mameh,maméh,0.91,1,1.00,1.00,1.00
malem,malém,0.91,2,1.00,1.00,1.00
malee,malèe,0.91,2,1.00,1.00,1.00
mabok,mabôk,0.91,1,1.00,1.00,1.00
lusen,lusèn,0.91,1,1.00,1.00,1.00
moderen,modèrèn,0.87,2,1.00,1.00,1.00
misee,misèe,0.91,1,1.00,1.00,1.00
minet,minèt,0.91,1,1.00,1.00,1.00
milion,miliôn,0.93,1,1.00,1.00,1.00
mikroskop,mikrôskôp,0.91,1,1.00,1.00,1.00
meuturot-turot,meuturôt-turôt,0.95,1,1.00,1.00,1.00
meutudong,meutudông,0.96,1,1.00,1.00,1.00
meutitep,meutitèp,0.96,1,1.00,1.00,1.00
meutaroh,meutarôh,0.96,1,1.00,1.00,1.00
meutaot,meutaôt,0.95,1,1.00,1.00,1.00
meusyedara,meusyédara,0.97,1,1.00,1.00,1.00
meusurot,meusurôt,0.96,1,1.00,1.00,1.00
Maret,Marèt,0.91,3,1.00,1.00,1.00
manyet,manyèt,0.93,1,1.00,1.00,1.00
mantega,mantèga,0.94,1,1.00,1.00,1.00
mangkong,mangkông,0.96,1,1.00,1.00,1.00
maneh,manéh,0.91,2,1.00,1.00,1.00
malot,malôt,0.91,1,1.00,1.00,1.00
malee-malee,malèe-malèe,0.92,1,1.00,1.00,1.00
lungkee,lungkèe,0.95,2,1.00,1.00,1.00
lunceng,luncéng,0.94,1,1.00,1.00,1.00
lumpok,lumpôk,0.93,3,1.00,1.00,1.00
lumbem,lumbèm,0.93,1,1.00,1.00,1.00
luloh,lulôh,0.91,1,1.00,1.00,1.00
lukesan,lukésan,0.93,1,1.00,1.00,1.00
loteng,lotèng,0.92,1,1.00,1.00,1.00
lop,lôp,0.80,3,1.00,1.00,1.00
long,lotèng,0.91,1,1.00,1.00,1.00
lon,lotèng,0.87,2,1.00,1.00,1.00
logat,lôgat,0.88,2,1.00,1.00,1.00
lisek,lisék,0.91,1,1.00,1.00,1.00
lipeh,lipéh,0.91,2,1.00,1.00,1.00
lingkok,lingkôk,0.95,1,1.00,1.00,1.00
linggeh,linggéh,0.95,1,1.00,1.00,1.00
lilet,lilét,0.91,3,1.00,1.00,1.00
lilen,lilèn,0.91,2,1.00,1.00,1.00
Ihon,Ihôn,0.87,3,1.00,1.00,1.00
leunde,leundé,0.94,1,1.00,1.00,1.00
leumbot,leumbôt,0.95,1,1.00,1.00,1.00
leuho,leuhô,0.92,3,1.00,1.00,1.00
leugot,leugôt,0.93,2,1.00,1.00,1.00
leubeng,leubéng,0.94,3,1.00,1.00,1.00
leubeh,leubèh,0.93,1,1.00,1.00,1.00
let,lét,0.80,7,1.00,1.00,1.00
lensa,lènsa,0.88,1,1.00,1.00,1.00
leklang,léklang,0.91,1,1.00,1.00,1.00
layee,layèe,0.91,2,1.00,1.00,1.00
lawet,lawét,0.91,1,1.00,1.00,1.00
lapeh,lapéh,0.91,1,1.00,1.00,1.00
lambong,lambông,0.94,2,1.00,1.00,1.00
lukeh,lukéh,0.91,1,1.00,1.00,1.00
lotre,lotré,0.92,1,1.00,1.00,1.00
lonte,lônté,0.76,5,1.00,1.00,1.00
lite,litè,0.88,1,1.00,1.00,1.00
linggong,linggông,0.96,1,1.00,1.00,1.00
likot,likôt,0.91,2,1.00,1.00,1.00
lhok,lhôk,0.87,1,1.00,1.00,1.00
Ihoh,Ihôh,0.87,3,1.00,1.00,1.00
Ihee,Ihèe,0.87,1,1.00,1.00,1.00
leungkong,leungkông,0.96,1,1.00,1.00,1.00
leumbeng,leumbéng,0.96,2,1.00,1.00,1.00
leubo,leubô,0.92,1,1.00,1.00,1.00
letnan,lètnan,0.90,1,1.00,1.00,1.00
lestrek,léstrék,0.83,2,1.00,1.00,1.00
leng,leungkông,0.85,7,1.00,1.00,1.00
lem,leumbôt,0.85,9,1.00,1.00,1.00
le,leuhô,0.84,6,1.00,1.00,1.00
layoh,layôh,0.91,1,1.00,1.00,1.00
laot,laôt,0.87,3,1.00,1.00,1.00
langsong,langsông,0.96,2,1.00,1.00,1.00
langet,langèt,0.93,1,1.00,1.00,1.00
landok,landôk,0.93,2,1.00,1.00,1.00
lampoh,lampôh,0.93,2,1.00,1.00,1.00
lambayong,lambayông,0.96,1,1.00,1.00,1.00
lalorat,lalôrat,0.93,1,1.00,1.00,1.00
lalo,lalô,0.88,9,1.00,1.00,1.00
lalee,,0.00,0,1.00,1.00,1.00
laklem,laklém,0.93,1,1.00,1.00,1.00
lahe,lahèe,0.95,1,1.00,1.00,1.00
lagot,lagôt,0.91,1,1.00,1.00,1.00
lagee,lagèe,0.91,3,1.00,1.00,1.00
ladom,ladôm,0.91,1,1.00,1.00,1.00
ladem,ladôm,0.91,2,1.00,1.00,1.00
labo,labô,0.88,2,1.00,1.00,1.00
la'eh,la'èh,0.91,1,1.00,1.00,1.00
kutep,kutôp,0.91,1,1.00,1.00,1.00
kunengan,kunèngan,0.94,1,1.00,1.00,1.00
kuncop,kuncôp,0.93,1,1.00,1.00,1.00
kulet,kulét,0.91,2,1.00,1.00,1.00
kueh,kuéh,0.87,5,1.00,1.00,1.00
kude,kudé,0.88,1,1.00,1.00,1.00
kualitet,kualitét,0.96,1,1.00,1.00,1.00
etnologi,ètnologi,0.92,1,1.00,1.00,1.00
etimologi,ètimologi,0.93,1,0.90,0.90,1.00
eseutilah,èseutilah,0.93,1,1.00,1.00,1.00
eselon,èsèlon,0.78,4,1.00,1.00,1.00
enseueh,énseueh,0.90,2,1.00,1.00,1.00
embe,seumbô,0.81,2,1.00,1.00,1.00
lalem,lalém,0.91,5,1.00,1.00,1.00
lakee,lakèe,0.91,1,1.00,1.00,1.00
lahee,lahèe,0.91,1,1.00,1.00,1.00
laen,laén,0.87,4,1.00,1.00,1.00
kutop,kutôp,0.91,3,1.00,1.00,1.00
kurek,kurék,0.91,1,1.00,1.00,1.00
kupong,kupông,0.92,2,1.00,1.00,1.00
kukoh,kukôh,0.91,1,1.00,1.00,1.00
kudok,kudôk,0.91,1,1.00,1.00,1.00
kuarto,kuartô,0.94,1,1.00,1.00,1.00
krot,krôt,0.87,5,1.00,1.00,1.00
kronomete,kronomètè,0.93,1,1.00,1.00,1.00
krek,krèk,0.87,1,1.00,1.00,1.00
kreh,kréh,0.87,2,1.00,1.00,1.00
krangkeng,krangkèng,0.96,1,1.00,1.00,1.00
korset,korsèt,0.93,1,1.00,1.00,1.00
kontrasepsi,kontrasèpsi,0.97,1,1.00,1.00,1.00
kontingen,kontingèn,0.96,1,1.00,1.00,1.00
konsep,konsèp,0.93,2,1.00,1.00,1.00
kok,korsèt,0.87,2,1.00,1.00,1.00
klep,klèp,0.87,1,1.00,1.00,1.00
kiree,kirèe,0.91,1,1.00,1.00,1.00
keurubet,keurubét,0.96,1,1.00,1.00,1.00
keureukon,keureukôn,0.96,1,1.00,1.00,1.00
keuphon,keuphôn,0.95,1,1.00,1.00,1.00
keumirem,keumirém,0.96,1,1.00,1.00,1.00
keumawe,keumawé,0.95,1,1.00,1.00,1.00
keudee,keudèe,0.93,1,1.00,1.00,1.00
komponen,komponèn,0.96,1,1.00,1.00,1.00
kom,komponèn,0.85,9,1.00,1.00,1.00
kolonen,kolonèn,0.95,1,1.00,1.00,1.00
koeisien,koèisièn,0.87,1,1.00,1.00,1.00
kiroh,kirôh,0.91,1,1.00,1.00,1.00
kirem,kirém,0.91,1,1.00,1.00,1.00
khem,khém,0.87,1,1.00,1.00,1.00
keurusong,keurusông,0.96,1,1.00,1.00,1.00
keureuleng,keureuléng,0.97,1,1.00,1.00,1.00
keupong,keupông,0.94,2,1.00,1.00,1.00
keupeng,keupông,0.94,2,1.00,1.00,1.00
keunyeh,keunyèh,0.95,1,1.00,1.00,1.00
keundo,keundô,0.94,1,1.00,1.00,1.00
keulileng,keuliléng,0.96,1,1.00,1.00,1.00
keuleudee,keuleudèe,0.96,1,1.00,1.00,1.00
keulabee,keulabèe,0.96,1,1.00,1.00,1.00
kereta,kerèta,0.92,1,1.00,1.00,1.00
kemah,kèmah,0.88,1,1.00,1.00,1.00
keju,kèju,0.85,4,1.00,1.00,1.00
kayee,kayèe,0.91,1,1.00,1.00,1.00
kawoh,kawôh,0.91,2,1.00,1.00,1.00
kaset,kasèt,0.91,2,1.00,1.00,1.00
karonya,karônya,0.93,1,1.00,1.00,1.00
kareubet,kareubét,0.96,1,1.00,1.00,1.00
kapiten,kapitèn,0.95,1,1.00,1.00,1.00
kaphe,kaphô,0.92,1,1.00,1.00,1.00
kanto,kantô,0.92,2,1.00,1.00,1.00
kameng,kamèng,0.92,2,1.00,1.00,1.00
kadet,kadôt,0.91,2,1.00,1.00,1.00
kabupaten,kabupatèn,0.96,1,1.00,1.00,1.00
kabinet,kabinèt,0.95,2,1.00,1.00,1.00
kabaret,kabarèt,0.95,1,1.00,1.00,1.00
jujor,jujôr,0.91,1,1.00,1.00,1.00
jok,jôk,0.80,2,1.00,1.00,1.00
jilet,jilét,0.91,1,1.00,1.00,1.00
jeulamee,jeulamèe,0.96,1,1.00,1.00,1.00
eumbon,eumbôn,0.93,1,1.00,1.00,1.00
kense,,0.00,0,1.00,1.00,1.00
keker,keumirém,0.85,6,1.00,1.00,1.00
keh,keuphôn,0.85,3,1.00,1.00,1.00
kayem,kayém,0.91,1,1.00,1.00,1.00
kawom,kawôm,0.91,1,1.00,1.00,1.00
kawen,kawèn,0.91,1,1.00,1.00,1.00
katon,katôn,0.91,2,1.00,1.00,1.00
kaso,kasô,0.88,1,1.00,1.00,1.00
kapho,kaphô,0.92,1,1.00,1.00,1.00
kandongan,kandôngan,0.96,1,1.00,1.00,1.00
kadot,kadôt,0.91,1,1.00,1.00,1.00
jurong,jurông,0.92,1,1.00,1.00,1.00
juree,jurèe,0.91,1,1.00,1.00,1.00
jundrong,jundrông,0.96,1,1.00,1.00,1.00
jho,jhô,0.82,1,1.00,1.00,1.00
jeuoh,jeuôh,0.91,1,1.00,1.00,1.00
jeunamee,jeunamèe,0.96,1,1.00,1.00,1.00
jeuee,jeuèe,0.91,9,1.00,1.00,1.00
jep,jép,0.80,6,1.00,1.00,1.00
jen,jeunamèe,0.83,4,1.00,1.00,1.00
jayeh,jayéh,0.91,1,1.00,1.00,1.00
jarom,jarôm,0.91,2,1.00,1.00,1.00
jareueng,jaréueng,0.94,1,1.00,1.00,1.00
jareng,jaréueng,0.94,2,1.00,1.00,1.00
jantong,jantông,0.94,1,1.00,1.00,1.00
jangket,jangkét,0.95,2,1.00,1.00,1.00
janggot,janggôt,0.95,1,1.00,1.00,1.00
janeng,janéng,0.92,1,1.00,1.00,1.00
jamprong,jamprông,0.96,1,1.00,1.00,1.00
jampok,jampôk,0.93,3,1.00,1.00,1.00
jamoe,jamôe,0.91,2,1.00,1.00,1.00
jambo,jambô,0.92,1,1.00,1.00,1.00
jalo,jalô,0.88,1,1.00,1.00,1.00
jagong,jagông,0.92,1,1.00,1.00,1.00
ipoh,ipôh,0.87,2,1.00,1.00,1.00
ileh,iléh,0.87,3,1.00,1.00,1.00
ikot,ikôt,0.87,1,1.00,1.00,1.00
hukoman,hukôman,0.93,1,1.00,1.00,1.00
homoseks,homosèks,0.96,1,1.00,1.00,1.00
hoi,hôi,0.80,2,1.00,1.00,1.00
hidrolik,hidrôlik,0.95,1,1.00,1.00,1.00
helikopter,hèlikopter,0.94,1,1.00,1.00,1.00
hekeuta,hèkeuta,0.91,3,1.00,1.00,1.00
hek,hèkeuta,0.83,1,1.00,1.00,1.00
harom,harôm,0.91,2,1.00,1.00,1.00
haroh,harôh,0.91,3,1.00,1.00,1.00
etnografi,ètnografi,0.93,1,1.00,1.00,1.00
haloh,halôh,0.91,1,1.00,1.00,1.00
haleh,halôh,0.91,2,1.00,1.00,1.00
jadeh,jadèh,0.91,2,1.00,1.00,1.00
jabep,jabép,0.91,2,1.00,1.00,1.00
itek,iték,0.87,3,1.00,1.00,1.00
ireh,iréh,0.87,1,1.00,1.00,1.00
ipok,ipôk,0.87,2,1.00,1.00,1.00
implensa,implènsa,0.95,1,1.00,1.00,1.00
ile,ilé,0.82,9,1.00,1.00,1.00
iklem,iklém,0.91,1,1.00,1.00,1.00
ijo,ijô,0.82,1,1.00,1.00,1.00
idong,idông,0.89,2,1.00,1.00,1.00
hukom,hukôm,0.91,1,1.00,1.00,1.00
hotel,hotèl,0.91,1,1.00,1.00,1.00
himbee,himbèe,0.93,1,1.00,1.00,1.00
hemat,hèmat,0.88,2,1.00,1.00,1.00
helem,hèlem,0.88,1,1.00,1.00,1.00
hebat,hèbat,0.88,1,1.00,1.00,1.00
hase,hasé,0.88,3,1.00,1.00,1.00
haro-hara,harô-hara,0.95,1,1.00,1.00,1.00
hambo,hambô,0.92,1,1.00,1.00,1.00
hader,hadér,0.91,2,1.00,1.00,1.00
esmenen,sampôreuna,0.82,10,1.00,1.00,1.00
gutee,gutèe,0.91,1,1.00,1.00,1.00
guree,gurèe,0.91,2,1.00,1.00,1.00
eseukrem,èseukrém,0.83,2,1.00,1.00,1.00
engse,,0.00,0,1.00,1.00,1.00
endatu,éndatu,0.89,1,1.00,1.00,1.00
emlak,émlak,0.87,2,1.00,1.00,1.00
eleumee,éleumèe,0.81,6,1.00,1.00,1.00
eleuham,éleuham,0.90,1,1.00,1.00,1.00
elektron,èlèktron,0.83,2,1.00,1.00,1.00
eleh,éleuham,0.86,1,1.00,1.00,1.00
ekspor,èkspor,0.89,1,0.70,0.70,1.00
eklektik,eklèktik,0.94,1,1.00,1.00,1.00
ek,eklèktik,0.80,1,1.00,1.00,1.00
ek,eklèktik,0.80,1,1.00,1.00,1.00
eh,meuhôi,0.78,7,1.00,1.00,1.00
eh,meuhôi,0.78,7,1.00,1.00,1.00
edisi,èdisi,0.87,1,1.00,1.00,1.00
'et,'èt,0.80,4,1.00,1.00,1.00
'emblem,'èmblèm,0.83,1,0.30,0.30,1.00
duson,dusôn,0.91,1,1.00,1.00,1.00
dumpet,dumpèt,0.93,1,1.00,1.00,1.00
gureng,guréng,0.92,1,1.00,1.00,1.00
gunteng,gunténg,0.94,1,1.00,1.00,1.00
gumbok,gumbôk,0.93,2,1.00,1.00,1.00
gulong,gulông,0.92,2,1.00,1.00,1.00
gulee,gulée,0.91,1,1.00,1.00,1.00
gule,gulée,0.95,1,1.00,1.00,1.00
gukee,gukée,0.91,1,1.00,1.00,1.00
gugop,gugôp,0.91,1,1.00,1.00,1.00
grek,grèk,0.87,2,1.00,1.00,1.00
gorden,gordèn,0.93,1,1.00,1.00,1.00
gogah,gôgah,0.88,1,1.00,1.00,1.00
go-go,gô-gô,0.76,9,1.00,1.00,1.00
glong,glông,0.89,1,1.00,1.00,1.00
gleh,gléh,0.87,2,1.00,1.00,1.00
ginseng,ginsèng,0.94,1,1.00,1.00,1.00
gileng,giléng,0.92,1,1.00,1.00,1.00
gigeh,gigèh,0.91,1,1.00,1.00,1.00
geureupoh,geureupôh,0.96,1,1.00,1.00,1.00
geuntot,geuntôt,0.95,2,1.00,1.00,1.00
geunteng,geunténg,0.96,1,1.00,1.00,1.00
geunaseh,geunaséh,0.96,1,1.00,1.00,1.00
geumaseh,geumaséh,0.96,1,1.00,1.00,1.00
geuleumbong,geuleumbông,0.97,1,1.00,1.00,1.00
geometris,géométris,0.87,1,1.00,1.00,1.00
geographis,géographis,0.94,1,1.00,1.00,1.00
gayep,gayép,0.91,1,1.00,1.00,1.00
gareh,garéh,0.91,3,1.00,1.00,1.00
ganje,ganjé,0.92,1,1.00,1.00,1.00
gandom,gandôm,0.93,1,1.00,1.00,1.00
gampong,gampông,0.94,1,1.00,1.00,1.00
gamet,gamèt,0.91,1,1.00,1.00,1.00
gadoh,gadôh,0.91,3,1.00,1.00,1.00
gabong,gabông,0.92,1,1.00,1.00,1.00
g'eng-g'ong,g'éng-g'ong,0.95,1,0.30,0.30,1.00
geuten,geutèn,0.93,1,1.00,1.00,1.00
geunulong,geunulông,0.96,1,1.00,1.00,1.00
geumadee,geumadèe,0.96,1,1.00,1.00,1.00
geudong,geudông,0.94,1,1.00,1.00,1.00
geologi,ètnologi,0.78,2,1.00,1.00,1.00
geodesi,géodési,0.83,1,1.00,1.00,1.00
gayong,gayông,0.92,1,1.00,1.00,1.00
gaseng,gaséng,0.92,2,1.00,1.00,1.00
gaseh,gaséh,0.91,2,1.00,1.00,1.00
garo,garô,0.88,1,1.00,1.00,1.00
gaon,gaôn,0.87,2,1.00,1.00,1.00
gamlomlam,gamlômlam,0.96,1,1.00,1.00,1.00
gambe,gambé,0.92,1,1.00,1.00,1.00
gadeng,gadéng,0.92,1,1.00,1.00,1.00
gaboh,gabôh,0.91,1,1.00,1.00,1.00
euntong,euntông,0.94,1,1.00,1.00,1.00
eungkot,eungkôt,0.95,1,1.00,1.00,1.00
duane,duanè,0.92,1,1.00,1.00,1.00
dompet,dompèt,0.93,1,1.00,1.00,1.00
do'a,dô'a,0.85,1,1.00,1.00,1.00
dhoi,dhôi,0.87,2,1.00,1.00,1.00
deumpoi,deumpôi,0.95,1,1.00,1.00,1.00
desya,dèsya,0.88,1,1.00,1.00,1.00
Desember,Desèmbèr,0.88,1,1.00,1.00,1.00
denden,meudeungông,0.85,2,1.00,1.00,1.00
dayong,dayông,0.92,1,1.00,1.00,1.00
damee,damée,0.91,1,1.00,1.00,1.00
cungke,cungké,0.94,1,1.00,1.00,1.00
cumbong,cumbông,0.94,1,1.00,1.00,1.00
culek,culék,0.91,1,1.00,1.00,1.00
donya,dônya,0.88,1,1.00,1.00,1.00
disket,diskèt,0.93,1,1.00,1.00,1.00
dhot,dhôt,0.87,4,1.00,1.00,1.00
deutek,deutèk,0.93,2,1.00,1.00,1.00
derek,deutèk,0.86,2,1.00,1.00,1.00
dek,dèk,0.80,8,1.00,1.00,1.00
debet,debèt,0.91,2,1.00,1.00,1.00
darohaka,darôhaka,0.94,1,1.00,1.00,1.00
dalong,dalông,0.92,1,1.00,1.00,1.00
cungkeh,cungkèh,0.95,1,1.00,1.00,1.00
cumeh,cumèh,0.91,1,1.00,1.00,1.00
cuko,cukô,0.88,2,1.00,1.00,1.00
cukeh,cukèh,0.91,1,1.00,1.00,1.00
cukee,cukèe,0.91,1,1.00,1.00,1.00
croh,crôh,0.87,2,1.00,1.00,1.00
cre-bre,cré-bré,0.85,1,0.50,0.50,1.00
cre,cré,0.82,2,1.00,1.00,1.00
cr'ek,cr'èk,0.91,1,1.00,1.00,1.00
con,côn,0.80,8,1.00,1.00,1.00
ciret,cirét,0.91,1,1.00,1.00,1.00
cicem,cicém,0.91,1,1.00,1.00,1.00
ceureudek,ceureudék,0.96,1,1.00,1.00,1.00
ceumarot,ceumarôt,0.96,1,1.00,1.00,1.00
cetak,cètak,0.88,1,1.00,1.00,1.00
ceng,céng,0.85,1,1.00,1.00,1.00
cedaga,cèdaga,0.90,1,1.00,1.00,1.00
catetan,catètan,0.93,1,1.00,1.00,1.00
cangkoi,cangkôi,0.95,2,1.00,1.00,1.00
canden,candén,0.93,1,1.00,1.00,1.00
calam-malom,calam-malôm,0.97,1,1.00,1.00,1.00
cagee,cagée,0.91,1,1.00,1.00,1.00
cae,caé,0.82,6,1.00,1.00,1.00
caboi,cabôi,0.91,2,1.00,1.00,1.00
coh,côh,0.80,7,1.00,1.00,1.00
cilet,cilèt,0.91,1,1.00,1.00,1.00
chen,chèn,0.87,1,1.00,1.00,1.00
ceureumen,ceureumèn,0.96,1,1.00,1.00,1.00
ceureulong,ceureulông,0.97,1,1.00,1.00,1.00
ceurapee,ceurapèe,0.96,1,1.00,1.00,1.00
ceunulek,ceunulék,0.96,1,1.00,1.00,1.00
ceundrong,ceundrông,0.96,1,1.00,1.00,1.00
