Keyword,Expected,Algorithm Accuracy Result,Priority Number,Precision,Recall,Average Precision
tapeh,tapéh,0.91,1,1.00,1.00,1.00
tanjong,tanjông,0.94,1,1.00,1.00,1.00
tangkeh,tangkéh,0.95,3,1.00,1.00,1.00
tangke,tangké,0.94,2,1.00,1.00,1.00
tangilek,tangilék,0.96,1,1.00,1.00,1.00
tanggong,tanggông,0.96,1,1.00,1.00,1.00
tanggoh,tanggôh,0.95,1,1.00,1.00,1.00
tandeng,tandéng,0.94,1,1.00,1.00,1.00
tamse,tamsé,0.92,1,1.00,1.00,1.00
tampureh,tampuréh,0.96,1,1.00,1.00,1.00
tampuleng,tampuléng,0.96,1,1.00,1.00,1.00
tampok,tampôk,0.93,3,1.00,1.00,1.00
tameng,tamèng,0.92,3,1.00,1.00,1.00
tameh,tamèh,0.91,1,1.00,1.00,1.00
tambo,tambô,0.92,1,1.00,1.00,1.00
tamadon,tamadôn,0.95,1,1.00,1.00,1.00
talo,talô,0.88,3,1.00,1.00,1.00
takse,taksé,0.92,1,1.00,1.00,1.00
takot,takôt,0.91,2,1.00,1.00,1.00
taklok,taklôk,0.93,1,1.00,1.00,1.00
taklet,taklét,0.93,1,1.00,1.00,1.00
takjop,takjôp,0.93,1,1.00,1.00,1.00
tablet,tablèt,0.93,2,1.00,1.00,1.00
syuko,syukô,0.92,1,1.00,1.00,1.00
syetan,syètan,0.91,1,1.00,1.00,1.00
syedara,syèdara,0.92,1,1.00,1.00,1.00
syedaga,syèdaga,0.92,1,1.00,1.00,1.00
syarikoh,syarikôh,0.96,1,1.00,1.00,1.00
suwe,suwé,0.88,1,1.00,1.00,1.00
susot,susôt,0.91,1,1.00,1.00,1.00
suson,susôn,0.91,1,1.00,1.00,1.00
surot,surôt,0.91,1,1.00,1.00,1.00
suroh,surôh,0.91,1,1.00,1.00,1.00
supe,supé,0.88,1,1.00,1.00,1.00
sunteng,sunténg,0.94,1,1.00,1.00,1.00
sunggoh-sunggoh,sunggôh-sunggôh,0.96,1,1.00,1.00,1.00
sulotan,sulôtan,0.93,1,1.00,1.00,1.00
sulong,sulông,0.92,1,1.00,1.00,1.00
sulet,sulét,0.91,1,1.00,1.00,1.00
