Keyword,Expected,Algorithm Accuracy Result,Priority Number,Recommendation Accuracy Result
teuneuboh,teuneubôh,0.96,1,1.00
teunaroh,teunarôh,0.96,1,1.00
teumiree,teumirèe,0.96,1,1.00
teumipee,teumipèe,0.96,1,1.00
teumeutot,teumeutôt,0.96,1,1.00
teumbon,teumbôn,0.95,1,1.00
teumasok,teumasôk,0.96,2,0.90
teumakot,teumakôt,0.96,1,1.00
teulok,teulôk,0.93,2,0.90
teulhon,teulhôn,0.95,1,1.00
teuleubeh,teuleubèh,0.96,1,1.00
teukeseh,teukeséh,0.96,1,1.00
teukejot,teukejôt,0.96,1,1.00
teugok,teugôk,0.93,4,0.70
teugoh,teugôh,0.93,5,0.60
teugo,teugô,0.92,6,0.50
teuceuek,teuceuèk,0.96,1,1.00
teuboh,teubôh,0.93,1,1.00
teubeng,teubéng,0.94,1,1.00
tet-tot,tèt-tot,0.91,1,1.00
tenda,tènda,0.88,2,0.90
tempe,teumipèe,0.85,1,1.00
tempe,teumipèe,0.85,1,1.00
tema,teumakôt,0.87,8,0.30
tem,teumbôn,0.85,5,0.60
telepisi,télépisi,0.85,3,0.80
teksi,tèksi,0.88,1,1.00
tebat,tèbat,0.88,1,1.00
tauge,taugé,0.92,1,1.00
taroh,tarôh,0.91,3,0.80
tarep,tarép,0.91,2,0.90
tarek,tarék,0.91,2,0.90
tapeuse,tapeusé,0.95,1,1.00
tapeh,tapéh,0.91,1,1.00
tanjong,tanjông,0.94,1,1.00
tangkeh,tangkéh,0.95,3,0.80
tangke,tangké,0.94,4,0.70
tangilek,tangilék,0.96,1,1.00
tanggong,tanggông,0.96,1,1.00
tanggoh,tanggôh,0.95,1,1.00
tandeng,tandéng,0.94,1,1.00
tamse,tamsé,0.92,1,1.00
tampureh,tampuréh,0.96,1,1.00
tampuleng,tampuléng,0.96,1,1.00
tampok,tampôk,0.93,3,0.80
tameng,tamèng,0.92,4,0.70
tameh,tamèh,0.91,2,0.90
tambo,tambô,0.92,1,1.00
tamadon,tamadôn,0.95,1,1.00
talo,talô,0.88,3,0.80
takse,taksé,0.92,1,1.00
takot,takôt,0.91,3,0.80
taklok,taklôk,0.93,1,1.00
taklet,taklét,0.93,1,1.00
takjop,takjôp,0.93,1,1.00
tablet,tablèt,0.93,2,0.90
syuko,syukô,0.92,1,1.00
syetan,syètan,0.91,1,1.00
syedara,syèdara,0.92,1,1.00
syedaga,syèdaga,0.92,1,1.00
syarikoh,syarikôh,0.96,1,1.00
suwe,suwé,0.88,1,1.00
susot,susôt,0.91,1,1.00
suson,susôn,0.91,1,1.00
surot,surôt,0.91,2,0.90
suroh,surôh,0.91,1,1.00
supe,supé,0.88,1,1.00
sunteng,sunténg,0.94,1,1.00
sunggoh-sunggoh,sunggôh-sunggôh,0.96,1,1.00
sulotan,sulôtan,0.93,1,1.00
sulong,sulông,0.92,1,1.00
sulet,sulét,0.91,2,0.90
suleng,suléng,0.92,4,0.70
sukee,sukèe,0.91,1,1.00
sukarela,sukarèla,0.96,1,1.00
sugot,sugôt,0.91,1,1.00
sudep,sudép,0.91,1,1.00
strop,strôp,0.91,1,1.00
sosah,sôsah,0.88,1,1.00
sop,silophôn,0.81,7,0.40
soneta,sonèta,0.92,1,1.00
sohsah,sôhsah,0.90,1,1.00
soh,silophôn,0.81,7,0.40
skema,skèma,0.89,1,1.00
siribee,siribèe,0.95,1,1.00
sereutoh,sereutôh,0.96,1,1.00
sirep,sirép,0.91,1,1.00
sirene,sikureuengplôh,0.85,7,0.40
sipre,sipré,0.92,2,0.90
sipot,sipôt,0.91,1,1.00
siploh,siplôh,0.93,1,1.00
singkee,singkèe,0.95,1,1.00
singet,singèt,0.93,1,1.00
sinde,sindé,0.92,1,1.00
simeureulet,simeureulét,0.97,1,1.00
silophon,silophôn,0.96,1,1.00
sikureuengploh,sikureuengplôh,0.98,1,1.00
sikrop,sikrôp,0.93,1,1.00
siklep-siklap,siklép-siklap,0.97,1,1.00
sijudo,sijudô,0.94,1,1.00
sibandeng,sibandéng,0.96,1,1.00
seurene,seurenè,0.95,1,1.00
seurumpet,seurumpét,0.96,1,1.00
seureleng,seureulông,0.96,1,1.00
seureulong,seureulông,0.97,1,1.00
seurabee,seurabèe,0.96,1,1.00
seupot,seupét,0.93,2,0.90
seupoh,seupôh,0.93,1,1.00
seupet,seupôt,0.93,1,1.00
seunuson,seunusôn,0.96,1,1.00
seunungkee,seunungkèe,0.97,1,1.00
seunte,seunté,0.94,2,0.90
seuneuron,seuneurôn,0.96,1,1.00
seuneupet,seuneupét,0.96,1,1.00
seuneulhong,seuneulhông,0.97,1,1.00
seunareng,seunaréng,0.96,2,0.90
seunambong,seunambông,0.97,1,1.00
seunalop,seunalôp,0.96,3,0.80
seunalen,seunalèn,0.96,2,0.90
seumulet,seumulét,0.96,1,1.00
seumporna,seumpôrna,0.96,1,1.00
seumpet,seumpét,0.95,1,1.00
seumike,seumiké,0.95,1,1.00
seumeulhoh,seumeulhôh,0.97,1,1.00
seumen,seumèn,0.93,2,0.90
seumbo,seumbô,0.94,1,1.00
seumateh,seumatéh,0.96,2,0.90
seumate,seumaté,0.95,2,0.90
seuliseh,seuliséh,0.96,1,1.00
seulimeng,seulimèng,0.96,1,1.00
seulidek,seulidék,0.96,1,1.00
seulangkot,seulangkôt,0.97,2,0.90
seudeh,seudéh,0.93,2,0.90
seubaroh,seubarôh,0.96,1,1.00
seubaro,seubarô,0.95,1,1.00
sep,seupôt,0.87,1,1.00
sente,seuneupét,0.80,7,0.40
seng,sèng,0.85,10,0.10
sel,seunalôp,0.83,4,0.70
seksa,séksa,0.88,1,1.00
,,0.00,0,0.00
sayen,sayén,0.91,1,1.00
sawo,sawô,0.88,1,1.00
sate,saté,0.88,4,0.70
sarong,sarông,0.92,2,0.90
sareng,saréng,0.92,2,0.90
sare,saré,0.88,4,0.70
santon,santôn,0.93,1,1.00
sanjong,sanjông,0.94,1,1.00
sanggop,sanggôp,0.95,1,1.00
sanggoi,sanggôi,0.95,1,1.00
sane,sanè,0.88,2,0.90
sandewara,sandéwara,0.96,1,1.00
samporeuna,sampôreuna,0.96,1,1.00
sampoh,sampôh,0.93,3,0.80
saloran,salôran,0.93,2,0.90
salop,salôp,0.91,3,0.80
salen,salèe,0.91,4,0.70
saleh,salèh,0.91,4,0.70
salee,salèe,0.91,5,0.60
saket,sakét,0.91,1,1.00
sagop,sagôp,0.91,2,0.90
sagee,sagèe,0.91,2,0.90
saengan,saéngan,0.92,2,0.90
sabong,sabông,0.92,2,0.90
sabon,sabôn,0.91,3,0.80
sabe,sabé,0.88,3,0.80
s'en,s'èn,0.87,1,1.00
rusok,rusôk,0.91,1,1.00
runtoh,runtôh,0.93,1,1.00
rumpet,rumpét,0.93,1,1.00
rumeh,rumèh,0.91,1,1.00
rumbee,rumbèe,0.93,2,0.90
rujee,rujèe,0.91,1,1.00
roket,rokèt,0.91,2,0.90
roh,rôh,0.80,10,0.10
ro,rokèt,0.84,5,0.60
rioh,riôh,0.87,2,0.90
rincong,rincông,0.94,1,1.00
rhot,rhôt,0.87,6,0.50
rhoi,rhôi,0.87,3,0.80
rhem,rhém,0.87,2,0.90
reutek,reuték,0.93,3,0.80
reuruntoh,reuruntôh,0.96,1,1.00
reuoh,reuôh,0.91,2,0.90
reuncong,reuncông,0.96,2,0.90
reudok,reudôk,0.93,2,0.90
reubot,reubôt,0.93,1,1.00
reubong,reubông,0.94,2,0.90
reuboh,reubôh,0.93,2,0.90
resimen,resimèn,0.95,1,1.00
resep,resèp,0.91,1,1.00
rektor,rèktor,0.90,2,0.90
rekening,rèkening,0.92,1,1.00
reflektor,réflèktor,0.87,2,0.90
meusulet,meusulét,0.96,1,1.00
rawot,rawôt,0.91,1,1.00
raong,raông,0.89,3,0.80
ranteng,ranténg,0.94,1,1.00
rante,ranté,0.92,1,1.00
ransom,ransôm,0.93,1,1.00
rangkoi,rangkôi,0.95,1,1.00
ranggong,ranggông,0.96,1,1.00
rampeng,rampéng,0.94,1,1.00
raminet,raminèt,0.95,1,1.00
rambong,rambông,0.94,2,0.90
rambee,rambèe,0.93,1,1.00
raket,rakét,0.91,1,1.00
raket,rakét,0.91,1,1.00
radio,radiô,0.92,4,0.70
racon,racôn,0.91,1,1.00
puwet,puwét,0.91,1,1.00
puweh,puwèh,0.91,2,0.90
puwajeb,puwajéb,0.95,1,1.00
putoh-putoh,putôh-putôh,0.92,1,1.00
putoh,putèh,0.91,1,1.00
puteng,puténg,0.92,2,0.90
puteh,putèh,0.91,2,0.90
pureh,puréh,0.91,2,0.90
puree,purèe,0.91,3,0.80
puputoh,puputôh,0.95,1,1.00
puputeh,puputéh,0.95,1,1.00
pupuleh,pupuléh,0.95,1,1.00
pupiyoh,pupiyôh,0.95,1,1.00
puphon,puphôn,0.93,1,1.00
pupansion,pupansiôn,0.96,1,1.00
puntong,puntông,0.94,1,1.00
punggong,punggông,0.96,1,1.00
punggok,punggôk,0.95,1,1.00
pumungken,pumungkén,0.96,1,1.00
pumeungkleh,pumeungklèh,0.97,1,1.00
pumeulek,pumeulèk,0.96,1,1.00
pumeukleh,pumeuklèh,0.96,1,1.00
pumerdeka,pumerdèka,0.96,1,1.00
pumasen,pumasén,0.95,1,1.00
pumameh,pumamèh,0.95,1,1.00
pumalee,pumalèe,0.95,1,1.00
pulot,pulôt,0.91,3,0.80
puleh,puléh,0.91,3,0.80
pudiom,pudiôm,0.93,1,1.00
pucok,pucôk,0.91,2,0.90
pubusot,pubusôt,0.95,1,1.00
pubeutoi,pubeutôi,0.96,1,1.00
pubeusot,pubeusôt,0.96,1,1.00
pubeureutoh,pubeureutôh,0.97,1,1.00
pubeungeh,pubeungèh,0.96,1,1.00
pubangket,pubangkét,0.96,1,1.00
pubandeng,pubandéng,0.96,1,1.00
proyektor,proyèktor,0.96,1,1.00
proteh,protèh,0.93,1,1.00
prospektus,prospèktus,0.97,1,1.00
presidium,prèsidium,0.94,1,1.00
presiden,prèsidèn,0.87,1,1.00
preh,prèh,0.87,3,0.80
predikat,prèdikat,0.93,1,1.00
pre,pré,0.82,4,0.70
praho,prahô,0.92,1,1.00
potokopi,pôtôkopi,0.85,2,0.90
pot-pot,tèt-tot,0.90,1,1.00
porselen,porselén,0.96,1,1.00
politeknik,politèknik,0.97,1,1.00
polem,polém,0.91,1,1.00
plok,plôk,0.87,2,0.90
planet,planèt,0.93,1,1.00
piyoh,piyôh,0.91,1,1.00
pipet,pipèt,0.91,4,0.70
pinto,pintô,0.92,1,1.00
pilem,pilém,0.91,1,1.00
pileh,piléh,0.91,1,1.00
pikeran,pikéran,0.93,1,1.00
pike,piké,0.88,1,1.00
picet,picét,0.91,1,1.00
phon-phon,phôn-phôn,0.88,1,1.00
phon,phôn,0.87,2,0.90
phet,phét,0.87,2,0.90
peuunyet,peuunyèt,0.96,1,1.00
peutundok,peutundôk,0.96,2,0.90
peutumpok-tumpok,peutumpôk-tumpôk,0.96,1,1.00
peutroh,peutrôh,0.95,1,1.00
peutho,peuthô,0.94,1,1.00
peuthee,peuthèe,0.95,2,0.90
peuteumbon,peuteumbôn,0.97,1,1.00
peutakot,peutakôt,0.96,1,1.00
peususon,peususôn,0.96,1,1.00
peuseupot,peuseupôt,0.96,1,1.00
peusambong,peusambông,0.97,1,1.00
peurisee,peurisèe,0.96,1,1.00
peureute,peureuté,0.96,1,1.00
peureuseh,peureuséh,0.96,1,1.00
peuraho,peurahô,0.95,4,0.70
peunyareng,peunyaréng,0.97,2,0.90
pileuh,piléuh,0.92,3,0.80
pilehan,piléhan,0.93,1,1.00
pijet,pijét,0.91,2,0.90
peutron,peutrôn,0.95,1,1.00
peuteuntee,peuteuntèe,0.97,1,1.00
peutenah,peuténah,0.95,1,1.00
peutaot,peutaôt,0.95,3,0.80
peutalo,peutalô,0.95,2,0.90
peutaklok,peutaklôk,0.96,1,1.00
peusare,peusaré,0.95,1,1.00
peuroh,peurôh,0.93,2,0.90
peurhot,peurhôt,0.95,1,1.00
peureusen,peureusèn,0.96,1,1.00
peureumen,peureumèn,0.96,1,1.00
peureulee,peureulèe,0.96,1,1.00
peureudee,peureudèe,0.96,1,1.00
peunyunteng,peunyunténg,0.97,1,1.00
peunteng,peunténg,0.96,1,1.00
peunileh,peuniléh,0.96,1,1.00
peungaseh,peungaséh,0.96,1,1.00
peuneng,peunténg,0.95,5,0.60
peulunco,peuluncô,0.96,1,1.00
peulicen,peulicén,0.96,1,1.00
peulampong,peulampông,0.97,1,1.00
meusilang-saleng,meusilang-saléng,0.98,1,1.00
meuseuliseh,meuseuliséh,0.97,1,1.00
meusare,meusaré,0.95,1,1.00
meusampeng,meusampéng,0.97,1,1.00
meusagop,meusagôp,0.96,1,1.00
meureuoh,meureuôh,0.96,2,0.90
meurdehka,meurdèhka,0.96,1,1.00
meuratoh,meuratôh,0.96,1,1.00
meuranggong,meuranggông,0.97,1,1.00
meurajalela,meurajalèla,0.97,1,1.00
meuracon,meuracôn,0.96,1,1.00
meupeungaroh,meupeungarôh,0.97,1,1.00
peanyaket,peanyakét,0.96,1,1.00
peunutoh,peunutôh,0.96,1,1.00
peunilek,peunilék,0.96,1,1.00
peungikot,peungikôt,0.96,1,1.00
peungaroh,peungarôh,0.96,1,1.00
peuneuyoh,peuneuyôh,0.96,1,1.00
peundukong,peundukông,0.97,1,1.00
peunajoh,peunajôh,0.96,1,1.00
peulindong,peulindông,0.97,1,1.00
peulhok,peulhôk,0.95,1,1.00
peuleugot,peuleugôt,0.96,1,1.00
peulet,peulagôt,0.95,4,0.70
peulaken,peulakén,0.96,1,1.00
peulagot,peulagôt,0.96,1,1.00
peulabohan,peulabôhan,0.97,1,1.00
peulabo,peulabô,0.95,2,0.90
peukurong,peukurông,0.96,1,1.00
peukupong,peukupông,0.96,1,1.00
peukeureuteng,peukeureuténg,0.97,1,1.00
peukeundo,peukeundô,0.96,1,1.00
peukeumbong,peukeumbông,0.97,2,0.90
peukeujot,peukeujôt,0.96,1,1.00
peukabeh,peukabèh,0.96,3,0.80
peujok,peujôk,0.93,1,1.00
peujeuoh,peujeuôh,0.96,1,1.00
peujayeh,peujayéh,0.96,1,1.00
peugule,peugulé,0.95,1,1.00
meuseuke,meuseuké,0.96,3,0.80
meusen,meusaéng,0.95,1,1.00
meusambong,meusambông,0.97,1,1.00
meusaeng,meusampéng,0.97,2,0.90
meuraong,meuraông,0.96,4,0.70
meurante,meuranté,0.96,3,0.80
meurandeh,meurandéh,0.96,1,1.00
meurabe,meurabé,0.95,1,1.00
meunurot,meunurôt,0.96,1,1.00
meumusoh,meumusôh,0.96,1,1.00
meulunco,meuluncô,0.96,1,1.00
meulonte,meulônté,0.90,5,0.60
meulindong,meulindông,0.97,1,1.00
meulambong,meulambông,0.97,1,1.00
meulaen,meulaèn,0.95,1,1.00
meukleh,meuklèh,0.95,1,1.00
peujampoh,peujampôh,0.96,1,1.00
peuile,peuilé,0.94,2,0.90
peuhubong,peuhubông,0.96,1,1.00
peugumbok,peugumbôk,0.96,1,1.00
peugleh,peugléh,0.95,1,1.00
peuget,peugèt,0.93,2,0.90
peugadee,peugadèe,0.96,1,1.00
peugabong,peugabông,0.96,1,1.00
,,0.00,0,0.00
peuek,peujôk,0.96,2,0.90
peudeh,peudéh,0.93,2,0.90
peudamee,peudamèe,0.96,1,1.00
peucre-bre,peucré-bré,0.93,1,1.00
peucoh-coh,peucôh-côh,0.92,1,1.00
peucaye,peucayé,0.95,2,0.90
peuayon-ayon,peuayôn-ayôn,0.94,1,1.00
peuayon,peuayôn,0.95,1,1.00
peuaseng,peuaséng,0.96,1,1.00
peuase,peuasé,0.94,1,1.00
peuangen-angen,peuangèn-angèn,0.95,1,1.00
peuanco,peuancô,0.95,1,1.00
meunarek,meunarék,0.96,2,0.90
peuampon,peuampôn,0.96,2,0.90
peualoh,peualôh,0.95,1,1.00
peuagong,peuagông,0.96,2,0.90
peuabeh,peuabéh,0.95,1,1.00
petran,pètran,0.90,3,0.80
peteunah,péteunah,0.92,4,0.70
pesta,pèsta,0.88,2,0.90
pers'en,pers'èn,0.95,1,1.00
periskop,periskôp,0.96,1,1.00
peodal,pèodal,0.90,1,1.00
pentilasi,pèntilasi,0.93,1,1.00
peng,peungarôh,0.85,8,0.30
peh,peuthô,0.87,4,0.70
payong,payông,0.92,1,1.00
patoh,patôh,0.91,2,0.90
pateh,patèe,0.91,3,0.80
parlemen,parlemèn,0.96,1,1.00
parek,parék,0.91,2,0.90
pante,panté,0.92,2,0.90
pangulee,pangulèe,0.96,1,1.00
panggong,panggông,0.96,2,0.90
pancopet,pancopèt,0.96,1,1.00
palet,palét,0.91,4,0.70
paleng,paléng,0.92,2,0.90
paleh,paléh,0.91,3,0.80
paket,pakèt,0.91,1,1.00
meulilet,meulilét,0.96,1,1.00
meulek,meulakèe,0.95,1,1.00
meulapeh-lapeh,meulapéh-lapéh,0.95,1,1.00
meulakee,meulakèe,0.96,1,1.00
meulabo,meulabô,0.95,1,1.00
meuklep,meuklèp,0.95,1,1.00
meukilok-kilok,meukilôk-kilôk,0.95,1,1.00
meukeutupep,meukeutupèp,0.97,1,1.00
eunchok,eunchôk,0.95,1,1.00
pena,peuancô,0.89,3,0.80
pe,peuék,0.84,10,0.10
patot,patôt,0.91,4,0.70
patong,patông,0.92,1,1.00
patee,patèe,0.91,4,0.70
pasokan,pasôkan,0.93,1,1.00
paseh,pasèh,0.91,3,0.80
parot,parôt,0.91,2,0.90
pareksa,paréksa,0.93,1,1.00
panton,pantôn,0.93,3,0.80
pansion,pansiôn,0.95,1,1.00
pangkee,pangkèe,0.95,2,0.90
panggoi,panggôi,0.95,1,1.00
pangeran,pangèran,0.95,1,1.00
pamplet,pamplét,0.95,1,1.00
palong,palông,0.92,2,0.90
palem,palém,0.91,4,0.70
palee,palèe,0.91,4,0.70
pake,paké,0.88,2,0.90
pajoh,pajôh,0.91,1,1.00
pade,padé,0.88,4,0.70
pacok,pacôk,0.91,1,1.00
pabrek,pabrék,0.93,1,1.00
on,konsèp,0.78,5,0.60
meukemah,meukèmah,0.95,2,0.90
meukawen,meukawén,0.96,1,1.00
meujuntee,meujuntèe,0.96,1,1.00
meuireng-ireng,meuiréng-iréng,0.95,1,1.00
meuikot,meuikôt,0.95,1,1.00
meuhoi,meuhôi,0.93,2,0.90
meugule,meugulé,0.95,1,1.00
mengreb,mengréb,0.95,1,1.00
meugeurupeng,meugeurupéng,0.97,1,1.00
meugampong,meugampông,0.97,1,1.00
meudrep-drep,meudrép-drép,0.94,1,1.00
meudesya,meudèsya,0.95,1,1.00
meucureh,meucuréh,0.96,1,1.00
meuceh,meucuréh,0.95,2,0.90
meubeude,meubeudé,0.96,1,1.00
meuato,meuatô,0.94,1,1.00
meuase,meuasé,0.94,2,0.90
meuampong,meuampông,0.96,1,1.00
meuadee,meuadèe,0.95,1,1.00
meu'en-meu'en,meu'èn-meu'én,0.94,1,1.00
merek,meulèk,0.86,2,0.90
men,mentèga,0.87,3,0.80
meja,meujamèe,0.87,3,0.80
meh,meuhôi,0.87,5,0.60
mbong,mbông,0.89,2,0.90
mateh,matéh,0.91,2,0.90
mate,maté,0.88,4,0.70
masineh,masinèh,0.95,1,1.00
orkeh,orkèh,0.91,1,1.00
ok,orkèh,0.82,3,0.80
meujareng,meujaréng,0.96,1,1.00
meujanggot,meujanggôt,0.97,1,1.00
meujamee,meujamèe,0.96,1,1.00
meuikot-ikot,meuikôt-ikôt,0.94,1,1.00
meuhimpon,meuhimpôn,0.96,1,1.00
meugule-gule,meugulé-gulé,0.94,1,1.00
mengrop-grop,mengrôp-grôp,0.94,1,1.00
meugogo,meugôgô,0.89,10,0.10
meuglong,meuglông,0.96,1,1.00
meugandeng,meugandéng,0.97,1,1.00
meudroh,meudrôh,0.95,2,0.90
meudeungong,meudeungông,0.97,2,0.90
meucatet,meucatèt,0.96,1,1.00
meubulee,meubulèe,0.96,1,1.00
meuangkot,meuangkôt,0.96,1,1.00
meuampong-ampong,meuampông-ampông,0.96,1,1.00
meuabee,meuabèe,0.95,1,1.00
meu'en,meu'èn,0.93,1,1.00
mete,menteuôt,0.87,2,0.90
mentega,mentèga,0.94,1,1.00
melodi,mèlodi,0.90,1,1.00
Mee,meuasé,0.87,5,0.60
mee,meuasé,0.87,5,0.60
mbon,mbôn,0.87,3,0.80
masen,masén,0.91,2,0.90
nyen,nyèn,0.87,2,0.90
naseb,naséb,0.91,3,0.80
musoh,musôh,0.91,1,1.00
musikben,musikbèn,0.96,1,1.00
mupalet,mupalét,0.95,2,0.90
munaph'ek,munaph'èk,0.96,1,1.00
mudek,mudèk,0.91,1,1.00
mubungkoh,mubungkôh,0.96,1,1.00
muboi-boi,mubôi-bôi,0.90,1,1.00
muble-ble,mublè-blé,0.91,1,1.00
mubeda,mubèda,0.92,3,0.80
mubalek,mubalék,0.95,1,1.00
mubae,mubaé,0.92,1,1.00
nyeh,nyèh,0.87,1,1.00
numboi,numbôi,0.93,1,1.00
neulet,neulét,0.93,1,1.00
nek,nèk,0.80,3,0.80
mustahe,mustahé,0.95,1,1.00
musem,musém,0.91,1,1.00
muphom,muphôm,0.93,1,1.00
mupake,mupaké,0.94,2,0.90
mungken,mungkén,0.95,1,1.00
mumee,rumbèe,0.94,5,0.60
muleh,mulèh,0.91,1,1.00
mubulee,mubulèe,0.95,1,1.00
mublet-blet,mublét-blét,0.93,1,1.00
mubee,rumbèe,0.94,3,0.80
mubareh,mubaréh,0.95,1,1.00
motel,motèl,0.91,1,1.00
modernisasi,modèrnisasi,0.96,1,1.00
milimete,milimètè,0.92,1,1.00
milek,milék,0.91,1,1.00
mewah,mèwah,0.88,2,0.90
meuurot,meuurôt,0.95,1,1.00
meuunyet,meuunyèt,0.96,1,1.00
meutumpok,meutumpôk,0.96,2,0.90
meutron,meutrôn,0.95,1,1.00
meuto-to,meutô-tô,0.90,4,0.70
meuthon,meuthôn,0.95,1,1.00
menteuot,menteuôt,0.96,1,1.00
meutapeh,meutapéh,0.96,1,1.00
meutanggoh,meutanggôh,0.97,1,1.00
mantel,mantèl,0.93,1,1.00
mando,mandô,0.92,1,1.00
mameh,maméh,0.91,2,0.90
malem,malém,0.91,2,0.90
malee,malèe,0.91,2,0.90
mabok,mabôk,0.91,1,1.00
lusen,lusèn,0.91,1,1.00
moderen,modèrèn,0.87,2,0.90
misee,misèe,0.91,1,1.00
minet,minèt,0.91,1,1.00
milion,miliôn,0.93,1,1.00
mikroskop,mikrôskôp,0.91,1,1.00
meuturot-turot,meuturôt-turôt,0.95,1,1.00
meutudong,meutudông,0.96,1,1.00
meutitep,meutitèp,0.96,1,1.00
meutaroh,meutarôh,0.96,1,1.00
meutaot,meutaôt,0.95,1,1.00
meusyedara,meusyédara,0.97,1,1.00
meusurot,meusurôt,0.96,1,1.00
Maret,Marèt,0.91,3,0.80
manyet,manyèt,0.93,1,1.00
mantega,mantèga,0.94,1,1.00
mangkong,mangkông,0.96,1,1.00
maneh,manéh,0.91,2,0.90
malot,malôt,0.91,1,1.00
malee-malee,malèe-malèe,0.92,1,1.00
lungkee,lungkèe,0.95,2,0.90
lunceng,luncéng,0.94,1,1.00
lumpok,lumpôk,0.93,3,0.80
lumbem,lumbèm,0.93,1,1.00
luloh,lulôh,0.91,1,1.00
lukesan,lukésan,0.93,1,1.00
loteng,lotèng,0.92,1,1.00
lop,lôp,0.80,3,0.80
long,lotèng,0.91,1,1.00
lon,lotèng,0.87,2,0.90
logat,lôgat,0.88,2,0.90
lisek,lisék,0.91,1,1.00
lipeh,lipéh,0.91,2,0.90
lingkok,lingkôk,0.95,1,1.00
linggeh,linggéh,0.95,1,1.00
lilet,lilét,0.91,3,0.80
lilen,lilèn,0.91,2,0.90
Ihon,Ihôn,0.87,3,0.80
leunde,leundé,0.94,1,1.00
leumbot,leumbôt,0.95,1,1.00
leuho,leuhô,0.92,4,0.70
leugot,leugôt,0.93,2,0.90
leubeng,leubéng,0.94,3,0.80
leubeh,leubèh,0.93,1,1.00
let,lét,0.80,8,0.30
lensa,lènsa,0.88,1,1.00
leklang,léklang,0.91,1,1.00
layee,layèe,0.91,2,0.90
lawet,lawét,0.91,1,1.00
lapeh,lapéh,0.91,1,1.00
lambong,lambông,0.94,2,0.90
lukeh,lukéh,0.91,1,1.00
lotre,lotré,0.92,1,1.00
lonte,lônté,0.76,5,0.60
lite,litè,0.88,1,1.00
linggong,linggông,0.96,1,1.00
likot,likôt,0.91,2,0.90
lhok,lhôk,0.87,1,1.00
Ihoh,Ihôh,0.87,4,0.70
Ihee,Ihèe,0.87,2,0.90
