No,Keyword,Expectation,Algorithm Accuracy Result,Priority Number,Precision,Recall,Average Precision
197,seuneulhong,seuneulhông,0.92,1,0.40,0.40,1.00
198,seunareng,seunaréng,0.90,1,0.70,0.70,1.00
199,seunambong,seunambông,0.91,1,0.90,0.90,1.00
200,seunalop,seunalôp,0.89,1,0.60,0.60,1.00
201,seunalen,seunalèn,0.89,1,0.40,0.40,1.00
202,seumulet,seumulét,0.89,1,0.30,0.30,1.00
203,seumporna,seumpôrna,0.90,1,0.20,0.20,1.00
204,seumpet,seumpét,0.88,1,1.00,1.00,1.00
205,seumike,seumiké,0.88,1,0.20,0.20,1.00
206,seumeulhoh,seumeulhôh,0.91,1,0.40,0.40,1.00
207,seumen,seumèn,0.86,1,0.40,0.40,1.00
208,seumbo,seumbô,0.86,1,0.30,0.30,1.00
209,seumateh,seumatéh,0.89,1,0.30,0.30,1.00
210,seumate,seumaté,0.88,1,0.80,0.80,1.00
211,seuliseh,seuliséh,0.89,1,0.20,0.20,1.00
212,seulimeng,seulimèng,0.90,1,0.20,0.20,1.00
213,seulidek,seulidék,0.89,1,0.10,0.10,1.00
214,seulangkot,seulangkôt,0.91,1,0.80,0.80,1.00
215,seudeh,seudéh,0.86,1,0.30,0.30,1.00
216,seubaroh,seubarôh,0.89,1,0.20,0.20,1.00
217,seubaro,seubarô,0.88,1,0.30,0.30,1.00
218,sep,sôp,0.75,1,0.20,0.20,1.00
219,sente,sèntè,0.71,1,0.20,0.20,1.00
220,seng,sèng,0.80,1,0.30,0.30,1.00
221,sel,sèl,0.75,1,0.10,0.10,1.00
222,seksa,séksa,0.83,1,0.10,0.10,1.00
223,sege,sègè,0.67,1,0.00,0.00,0.00
224,sayen,sayén,0.83,1,0.10,0.10,1.00
225,sawo,sawô,0.80,1,0.20,0.20,1.00
226,sate,saté,0.80,1,0.30,0.30,1.00
227,sarong,sarông,0.86,1,0.60,0.60,1.00
228,sareng,sarông,0.86,1,0.60,0.60,1.00
229,sare,saré,0.80,1,0.10,0.10,1.00
230,santon,santôn,0.86,1,0.50,0.50,1.00
231,sanjong,sanjông,0.88,1,0.70,0.70,1.00
232,sanggop,sanggôp,0.88,1,0.80,0.80,1.00
233,sanggoi,sanggôi,0.88,1,1.00,1.00,1.00
234,sane,sanè,0.80,1,0.10,0.10,1.00
235,sandewara,sandéwara,0.90,1,0.10,0.10,1.00
236,samporeuna,sampôreuna,0.91,1,0.10,0.10,1.00
237,sampoh,sampôh,0.86,1,0.30,0.30,1.00
238,saloran,salôran,0.88,1,0.30,0.30,1.00
239,salop,salôp,0.83,1,0.40,0.40,1.00
240,salen,salén,0.83,1,0.40,0.40,1.00
241,saleh,salèh,0.83,1,0.40,0.40,1.00
242,salee,salèe,0.83,1,0.40,0.40,1.00
243,saket,sakét,0.83,1,0.10,0.10,1.00
244,sagop,sagôp,0.83,1,0.20,0.20,1.00
245,sagee,sagèe,0.83,1,0.20,0.20,1.00
246,saengan,saéngan,0.88,1,0.20,0.20,1.00
247,sabong,sabông,0.86,1,0.40,0.40,1.00
248,sabon,sabôn,0.83,1,0.50,0.50,1.00
249,sabe,sabé,0.80,1,0.20,0.20,1.00
250,s'en,s'èn,0.80,1,0.10,0.10,1.00
251,rusok,rusôk,0.83,1,0.20,0.20,1.00
252,runtoh,runtôh,0.86,1,0.10,0.10,1.00
253,rumpet,rumpét,0.86,1,0.20,0.20,1.00
254,rumeh,rumèh,0.83,1,0.20,0.20,1.00
255,rumbee,rumbèe,0.86,1,0.30,0.30,1.00
256,rujee,rujèe,0.83,1,0.10,0.10,1.00
257,roket,rokèt,0.83,1,0.10,0.10,1.00
258,roh,rôh,0.75,1,0.50,0.50,1.00
259,ro,rô,0.67,1,0.00,0.00,0.00
260,rioh,riôh,0.80,1,0.20,0.20,1.00
261,rincong,rincông,0.88,1,0.50,0.50,1.00
262,rhot,rhôt,0.80,2,0.60,0.60,1.00
263,rhoi,rhôi,0.80,1,0.30,0.30,1.00
264,rhem,rhém,0.80,1,0.20,0.20,1.00
265,reutek,reuték,0.86,1,0.70,0.70,1.00
266,reuruntoh,reuruntôh,0.90,1,0.10,0.10,1.00
267,reuoh,reuôh,0.83,1,0.30,0.30,1.00
268,reuncong,reuncông,0.89,1,0.60,0.60,1.00
269,reudok,reudôk,0.86,1,0.20,0.20,1.00
270,reubot,reubôt,0.86,1,0.20,0.20,1.00
271,reubong,reubông,0.88,1,1.00,1.00,1.00
272,reuboh,reubôh,0.86,1,0.70,0.70,1.00
273,resimen,resimèn,0.88,1,0.10,0.10,1.00
274,resep,resèp,0.83,1,0.10,0.10,1.00
275,rektor,rèktor,0.86,1,0.30,0.30,1.00
276,rekening,rèkening,0.89,1,0.10,0.10,1.00
277,reflektor,réflèktor,0.82,1,0.10,0.10,1.00
278,meusulet,meusulét,0.89,1,0.30,0.30,1.00
279,rawot,rawôt,0.83,1,0.20,0.20,1.00
280,raong,raông,0.83,1,0.10,0.10,1.00
281,ranteng,ranténg,0.88,1,0.90,0.90,1.00
282,rante,ranté,0.83,1,0.10,0.10,1.00
283,ransom,ransôm,0.86,1,0.10,0.10,1.00
284,rangkoi,rangkôi,0.88,1,0.80,0.80,1.00
285,ranggong,ranggông,0.89,1,0.90,0.90,1.00
286,rampeng,rampéng,0.88,1,0.60,0.60,1.00
287,raminet,raminèt,0.88,1,0.30,0.30,1.00
288,rambong,rambông,0.88,1,0.80,0.80,1.00
289,rambee,rambèe,0.86,1,0.20,0.20,1.00
290,raket,rakét,0.83,1,0.20,0.20,1.00
291,raket,rakét,0.83,1,0.20,0.20,1.00
292,radio,radiô,0.83,1,0.10,0.10,1.00
293,racon,racôn,0.83,1,0.10,0.10,1.00
294,puwet,puwét,0.83,1,0.20,0.20,1.00
295,puweh,puwèh,0.83,1,0.20,0.20,1.00
296,puwajeb,puwajéb,0.88,1,0.10,0.10,1.00
297,putoh-putoh,putôh-putôh,0.85,1,0.10,0.10,1.00
298,putoh,putôh,0.83,1,0.40,0.40,1.00
299,puteng,puténg,0.86,1,0.40,0.40,1.00
300,puteh,putôh,0.83,1,0.30,0.30,1.00
301,pureh,puréh,0.83,1,0.30,0.30,1.00
302,puree,purèe,0.83,1,0.10,0.10,1.00
303,puputoh,puputôh,0.88,1,0.50,0.50,1.00
304,puputeh,puputôh,0.88,1,0.40,0.40,1.00
305,pupuleh,pupuléh,0.88,1,0.40,0.40,1.00
306,pupiyoh,pupiyôh,0.88,1,0.30,0.30,1.00
307,puphon,puphôn,0.86,1,0.10,0.10,1.00
308,pupansion,pupansiôn,0.90,1,0.10,0.10,1.00
309,puntong,puntông,0.88,1,1.00,1.00,1.00
310,punggong,punggông,0.89,1,0.50,0.50,1.00
311,punggok,punggôk,0.88,1,0.40,0.40,1.00
312,pumungken,pumungkén,0.90,1,0.10,0.10,1.00
313,pumeungkleh,pumeungklèh,0.92,1,0.20,0.20,1.00
314,pumeulek,pumeulèk,0.89,1,0.20,0.20,1.00
315,pumeukleh,pumeuklèh,0.90,1,0.20,0.20,1.00
316,pumerdeka,pumerdèka,0.90,1,0.10,0.10,1.00
317,pumasen,pumasén,0.88,1,0.20,0.20,1.00
318,pumameh,pumamèh,0.88,1,0.10,0.10,1.00
319,pumalee,pumalèe,0.88,1,0.10,0.10,1.00
320,pulot,pulôt,0.83,1,0.50,0.50,1.00
321,puleh,puléh,0.83,1,0.30,0.30,1.00
322,pudiom,pudiôm,0.86,1,0.10,0.10,1.00
323,pucok,pucôk,0.83,1,0.20,0.20,1.00
324,pubusot,pubusôt,0.88,1,0.30,0.30,1.00
325,pubeutoi,pubeutôi,0.89,1,0.20,0.20,1.00
326,pubeusot,pubeusôt,0.89,1,0.30,0.30,1.00
327,pubeureutoh,pubeureutôh,0.92,1,0.50,0.50,1.00
328,pubeungeh,pubeungèh,0.90,1,0.30,0.30,1.00
329,pubangket,pubangkét,0.90,1,0.20,0.20,1.00
330,pubandeng,pubandéng,0.90,1,0.30,0.30,1.00
331,proyektor,proyèktor,0.90,1,0.10,0.10,1.00
332,proteh,protèh,0.86,1,0.20,0.20,1.00
333,prospektus,prospèktus,0.91,1,0.10,0.10,1.00
334,presidium,prèsidium,0.90,1,0.10,0.10,1.00
335,presiden,prèsidèn,0.80,1,0.10,0.10,1.00
336,preh,prèh,0.80,1,0.50,0.50,1.00
337,predikat,prèdikat,0.89,1,0.10,0.10,1.00
338,pre,pré,0.75,1,0.10,0.10,1.00
339,praho,prahô,0.83,1,0.10,0.10,1.00
340,potokopi,pôtôkopi,0.80,1,0.10,0.10,1.00
341,pot-pot,pôt-pôt,0.78,1,0.20,0.20,1.00
342,porselen,porselén,0.89,1,0.10,0.10,1.00
343,politeknik,politèknik,0.91,1,0.20,0.20,1.00
344,polem,polém,0.83,1,0.10,0.10,1.00
345,plok,plôk,0.80,1,0.30,0.30,1.00
346,planet,planèt,0.86,1,0.10,0.10,1.00
347,piyoh,piyôh,0.83,1,0.10,0.10,1.00
348,pipet,pipèt,0.83,1,0.10,0.10,1.00
349,pinto,pintô,0.83,1,0.10,0.10,1.00
350,pilem,pilém,0.83,1,0.10,0.10,1.00
351,pileh,piléh,0.83,1,0.30,0.30,1.00
352,pikeran,pikéran,0.88,1,0.20,0.20,1.00
353,pike,piké,0.80,1,0.10,0.10,1.00
354,picet,picét,0.83,1,0.10,0.10,1.00
355,phon-phon,phôn-phôn,0.82,1,0.10,0.10,1.00
356,phon,phôn,0.80,1,0.20,0.20,1.00
357,phet,phét,0.80,1,0.10,0.10,1.00
358,peuunyet,peuunyèt,0.89,1,0.20,0.20,1.00
359,peutundok,peutundôk,0.90,1,0.40,0.40,1.00
360,peutumpok-tumpok,peutumpôk-tumpôk,0.89,1,0.10,0.10,1.00
361,peutroh,peutrôh,0.88,1,1.00,1.00,1.00
362,peutho,peuthô,0.86,1,0.40,0.40,1.00
363,peuthee,peuthèe,0.88,1,0.50,0.50,1.00
364,peuteumbon,peuteumbôn,0.91,1,1.00,1.00,1.00
365,peutakot,peutakôt,0.89,1,0.40,0.40,1.00
366,peususon,peususôn,0.89,1,0.30,0.30,1.00
367,peuseupot,peuseupôt,0.90,1,0.70,0.70,1.00
368,peusambong,peusambông,0.91,1,1.00,1.00,1.00
369,peurisee,peurisèe,0.89,1,0.10,0.10,1.00
370,peureute,peureuté,0.89,1,0.90,0.90,1.00
371,peureuseh,peureuséh,0.90,1,1.00,1.00,1.00
372,peuraho,peurahô,0.88,1,1.00,1.00,1.00
373,peunyareng,peunyaréng,0.91,1,0.50,0.50,1.00
374,pileuh,piléuh,0.86,1,0.10,0.10,1.00
375,pilehan,piléhan,0.88,1,0.10,0.10,1.00
376,pijet,pijét,0.83,1,0.20,0.20,1.00
377,peutron,peutrôn,0.88,1,1.00,1.00,1.00
378,peuteuntee,peuteuntèe,0.91,1,0.20,0.20,1.00
379,peutenah,peuténah,0.89,1,0.30,0.30,1.00
380,peutaot,peutaôt,0.88,1,1.00,1.00,1.00
381,peutalo,peutalô,0.88,1,0.80,0.80,1.00
382,peutaklok,peutaklôk,0.90,1,0.10,0.10,1.00
383,peusare,peusaré,0.88,1,0.90,0.90,1.00
384,peuroh,peurôh,0.86,1,1.00,1.00,1.00
385,peurhot,peurhôt,0.88,1,0.30,0.30,1.00
386,peureusen,peureusèn,0.90,1,1.00,1.00,1.00
387,peureumen,peureumèn,0.90,1,1.00,1.00,1.00
388,peureulee,peureulèe,0.90,1,0.70,0.70,1.00
389,peureudee,peureudèe,0.90,1,0.80,0.80,1.00
390,peunyunteng,peunyunténg,0.92,1,0.40,0.40,1.00
391,peunteng,peunténg,0.89,1,1.00,1.00,1.00
392,peunileh,peuniléh,0.89,1,0.20,0.20,1.00
393,peungaseh,peungaséh,0.90,1,0.20,0.20,1.00
394,peuneng,peunèng,0.88,1,1.00,1.00,1.00
395,peulunco,peuluncô,0.89,1,0.20,0.20,1.00
396,peulicen,peulicén,0.89,1,0.20,0.20,1.00
397,peulampong,peulampông,0.91,1,1.00,1.00,1.00
398,meusilang-saleng,meusilang-saléng,0.94,1,0.10,0.10,1.00
399,meuseuliseh,meuseuliséh,0.92,1,0.10,0.10,1.00
400,meusare,meusaré,0.88,1,0.50,0.50,1.00
401,meusampeng,meusampéng,0.91,1,1.00,1.00,1.00
402,meusagop,meusagôp,0.89,1,0.40,0.40,1.00
403,meureuoh,meureuôh,0.89,1,1.00,1.00,1.00
404,meurdehka,meurdèhka,0.90,1,0.10,0.10,1.00
405,meuratoh,meuratôh,0.89,1,0.90,0.90,1.00
406,meuranggong,meuranggông,0.92,1,0.30,0.30,1.00
407,meurajalela,meurajalèla,0.92,1,0.10,0.10,1.00
408,meuracon,meuracôn,0.89,1,0.20,0.20,1.00
409,meupeungaroh,meupeungarôh,0.92,1,0.10,0.10,1.00
410,peanyaket,peanyakét,0.90,1,0.10,0.10,1.00
411,peunutoh,peunutôh,0.89,1,0.60,0.60,1.00
412,peunilek,peunilék,0.89,1,0.20,0.20,1.00
413,peungikot,peungikôt,0.90,1,0.10,0.10,1.00
414,peungaroh,peungarôh,0.90,1,0.30,0.30,1.00
415,peuneuyoh,peuneuyôh,0.90,1,0.70,0.70,1.00
416,peundukong,peundukông,0.91,1,0.70,0.70,1.00
417,peunajoh,peunajôh,0.89,1,1.00,1.00,1.00
418,peulindong,peulindông,0.91,1,0.90,0.90,1.00
419,peulhok,peulhôk,0.88,1,0.40,0.40,1.00
420,peuleugot,peuleugôt,0.90,1,0.50,0.50,1.00
421,peulet,peulét,0.86,2,0.90,0.90,1.00
422,peulaken,peulakén,0.89,1,0.40,0.40,1.00
423,peulagot,peulagôt,0.89,1,0.30,0.30,1.00
424,peulabohan,peulabôhan,0.91,1,0.60,0.60,1.00
425,peulabo,peulabô,0.88,1,0.70,0.70,1.00
426,peukurong,peukurông,0.90,1,0.90,0.90,1.00
427,peukupong,peukupông,0.90,1,1.00,1.00,1.00
428,peukeureuteng,peukeureuténg,0.93,1,0.40,0.40,1.00
429,peukeundo,peukeundô,0.90,1,0.20,0.20,1.00
430,peukeumbong,peukeumbông,0.92,1,0.70,0.70,1.00
431,peukeujot,peukeujôt,0.90,1,0.70,0.70,1.00
432,peukabeh,peukabèh,0.89,1,0.50,0.50,1.00
433,peujok,peujôk,0.86,1,0.20,0.20,1.00
434,peujeuoh,peujeuôh,0.89,1,0.80,0.80,1.00
435,peujayeh,peujayéh,0.89,1,0.40,0.40,1.00
436,peugule,peugulé,0.88,1,0.50,0.50,1.00
437,meuseuke,meuseuké,0.89,1,0.20,0.20,1.00
438,meusen,meusén,0.86,1,0.30,0.30,1.00
439,meusambong,meusambông,0.91,1,1.00,1.00,1.00
440,meusaeng,meusaéng,0.89,1,0.80,0.80,1.00
441,meuraong,meuraông,0.89,1,0.80,0.80,1.00
442,meurante,meuranté,0.89,1,0.90,0.90,1.00
443,meurandeh,meurandéh,0.90,1,0.10,0.10,1.00
444,meurabe,meurabé,0.88,1,0.50,0.50,1.00
445,meunurot,meunurôt,0.89,1,0.70,0.70,1.00
446,meumusoh,meumusôh,0.89,1,0.40,0.40,1.00
447,meulunco,meuluncô,0.89,1,0.30,0.30,1.00
448,meulonte,meulônté,0.80,1,0.20,0.20,1.00
449,meulindong,meulindông,0.91,1,0.80,0.80,1.00
450,meulambong,meulambông,0.91,1,1.00,1.00,1.00
451,meulaen,meulaèn,0.88,1,0.60,0.60,1.00
452,meukleh,meuklèh,0.88,1,0.40,0.40,1.00
453,peujampoh,peujampôh,0.90,1,0.20,0.20,1.00
454,peuile,peuilé,0.86,1,0.20,0.20,1.00
455,peuhubong,peuhubông,0.90,1,0.50,0.50,1.00
456,peugumbok,peugumbôk,0.90,1,0.10,0.10,1.00
457,peugleh,peugléh,0.88,1,0.80,0.80,1.00
458,peuget,peugèt,0.86,1,0.60,0.60,1.00
459,peugadee,peugadèe,0.89,1,0.20,0.20,1.00
460,peugabong,peugabông,0.90,1,0.30,0.30,1.00
461,peueleh,peuèlèh,0.78,1,0.80,0.80,1.00
462,peuek,peuék,0.83,1,0.90,0.90,1.00
463,peudeh,peudéh,0.86,1,0.40,0.40,1.00
