Keyword,Expected,Algorithm Accuracy Result,Priority Number,Average Precision,Precision,Recall
pesta,peutalô,0.62,5,0.00,0.00,0.00
pers'en,periskôp,0.56,10,0.00,0.00,0.00
periskop,pôtôkopi,0.50,4,0.00,0.00,0.00
peodal,peudamèe,0.56,8,0.00,0.00,0.00
pentilasi,èseutilah,0.50,7,1.00,0.10,0.10
peng,pèna,0.60,10,0.00,0.00,0.00
peh,peurôh,0.57,10,0.00,0.00,0.00
payong,dayông,0.71,8,0.00,0.00,0.00
patoh,pasèh,0.67,9,0.00,0.00,0.00
pateh,pajôh,0.67,10,0.00,0.00,0.00
parlemen,porselén,0.56,5,0.00,0.00,0.00
parek,paréksa,0.62,8,0.00,0.00,0.00
pante,palèe,0.67,10,0.00,0.00,0.00
pangulee,panggông,0.56,9,0.00,0.00,0.00
panggong,mangkông,0.67,10,0.00,0.00,0.00
pancopet,peanyakét,0.50,6,0.00,0.00,0.00
palet,palém,0.67,10,0.00,0.00,0.00
paleng,dalông,0.71,6,0.00,0.00,0.00
paleh,palét,0.67,10,0.00,0.00,0.00
paket,palét,0.67,10,0.00,0.00,0.00
meulilet,meusulét,0.67,4,0.00,0.00,0.00
meulek,meuseuké,0.67,10,0.00,0.00,0.00
meulapeh-lapeh,meupeungarôh,0.50,10,0.00,0.00,0.00
meulakee,jeulamèe,0.67,9,0.00,0.00,0.00
meulabo,keulabèe,0.67,10,0.00,0.00,0.00
meuklep,pumeuklèh,0.60,6,0.00,0.00,0.00
meukilok-kilok,meusilang-saléng,0.47,9,0.00,0.00,0.00
meukeutupep,meugeurupéng,0.62,3,1.00,0.10,0.10
eunchok,eunchôk,0.88,1,0.00,0.00,0.00
pena,pèng,0.60,3,0.00,0.00,0.00
pe,pré,0.50,9,0.00,0.00,0.00
patot,palét,0.67,10,0.00,0.00,0.00
patong,paléng,0.71,6,0.00,0.00,0.00
patee,palèe,0.67,7,0.00,0.00,0.00
pasokan,pasôkan,0.88,1,0.00,0.00,0.00
paseh,gaséh,0.67,6,0.00,0.00,0.00
parot,Marèt,0.67,10,0.00,0.00,0.00
pareksa,parlemèn,0.56,10,0.00,0.00,0.00
panton,panté,0.67,8,1.00,0.10,0.10
pansion,prèsidèn,0.60,7,0.00,0.00,0.00
pangkee,pangulèe,0.67,10,0.00,0.00,0.00
panggoi,tanggôh,0.62,10,0.00,0.00,0.00
pangeran,pangèran,0.89,1,0.00,0.00,0.00
pamplet,palét,0.57,7,0.00,0.00,0.00
palong,dalông,0.71,6,0.00,0.00,0.00
palem,malém,0.67,10,0.00,0.00,0.00
palee,paléh,0.67,10,0.00,0.00,0.00
pake,piké,0.60,10,0.00,0.00,0.00
pajoh,paléh,0.67,5,0.00,0.00,0.00
pade,palèe,0.67,5,0.00,0.00,0.00
pacok,parék,0.67,4,0.00,0.00,0.00
pabrek,tarék,0.50,6,0.00,0.00,0.00
on,jén,0.50,10,0.00,0.00,0.00
meukemah,meureuôh,0.67,9,0.00,0.00,0.00
meukawen,meulaèn,0.62,10,0.00,0.00,0.00
meujuntee,meulônté,0.60,9,1.00,0.10,0.10
meuireng-ireng,meuampông-ampông,0.56,6,0.00,0.00,0.00
meuikot,peungikôt,0.60,10,0.00,0.00,0.00
meuhoi,meuhôi,0.86,1,0.00,0.00,0.00
meugule,mubulèe,0.62,8,0.00,0.00,0.00
mengreb,meuurôt,0.50,10,0.00,0.00,0.00
meugeurupeng,teurupông,0.58,7,1.00,0.10,0.10
meugampong,meugandéng,0.73,7,1.00,0.10,0.10
meudrep-drep,meuiréng-iréng,0.50,7,0.00,0.00,0.00
meudesya,meuseuké,0.56,10,0.00,0.00,0.00
meucureh,meuurôt,0.62,7,0.00,0.00,0.00
meuceh,meucuréh,0.67,9,0.00,0.00,0.00
meubeude,meubulèe,0.67,9,0.00,0.00,0.00
meuato,meuranté,0.67,9,0.00,0.00,0.00
meuase,meujamèe,0.67,10,0.00,0.00,0.00
meuampong,peuampôn,0.67,10,1.00,0.10,0.10
meuadee,meulakèe,0.67,10,0.00,0.00,0.00
meu'en-meu'en,meu'èn-meu'én,0.87,1,0.00,0.00,0.00
merek,dèrèk,0.57,8,0.00,0.00,0.00
men,èsmènèn,0.50,10,0.00,0.00,0.00
meja,mètè,0.50,10,0.00,0.00,0.00
meh,wèh,0.50,10,0.00,0.00,0.00
mbong,cumbông,0.62,7,0.00,0.00,0.00
mateh,maté,0.60,10,0.00,0.00,0.00
mate,saté,0.60,10,0.00,0.00,0.00
masineh,manéh,0.57,6,0.00,0.00,0.00
orkeh,cukèh,0.50,8,0.00,0.00,0.00
ok,uké,0.50,10,0.00,0.00,0.00
meujareng,meuraông,0.67,4,1.00,0.10,0.10
meujanggot,seulangkôt,0.64,5,1.00,0.10,0.10
meujamee,jeulamèe,0.67,10,0.00,0.00,0.00
meuikot-ikot,meukilôk-kilôk,0.50,9,0.00,0.00,0.00
meuhimpon,meuampông,0.60,10,1.00,0.10,0.10
meugule-gule,meuturôt-turôt,0.50,5,0.00,0.00,0.00
mengrop-grop,meuiréng-iréng,0.44,8,0.00,0.00,0.00
meugogo,meugulé,0.62,5,0.00,0.00,0.00
meuglong,meugampông,0.64,9,0.00,0.00,0.00
meugandeng,meulambông,0.64,9,1.00,0.10,0.10
meudroh,meutrôn,0.62,10,0.00,0.00,0.00
meudeungong,meudeungông,0.92,1,1.00,0.10,0.10
meucatet,meutaôt,0.62,5,0.00,0.00,0.00
meubulee,meugulé,0.62,9,0.00,0.00,0.00
meuangkot,meujanggôt,0.73,3,1.00,0.10,0.10
meuampong-ampong,meuiréng-iréng,0.50,10,0.00,0.00,0.00
meuabee,meujamèe,0.67,10,0.00,0.00,0.00
meu'en,meuthôn,0.62,10,0.00,0.00,0.00
mete,peuthèe,0.50,9,0.00,0.00,0.00
mentega,meugôgô,0.56,9,0.00,0.00,0.00
melodi,meulabô,0.50,9,0.00,0.00,0.00
Mee,jeuèe,0.50,5,0.00,0.00,0.00
mee,mèh,0.50,10,0.00,0.00,0.00
mbon,èsèlon,0.50,10,0.00,0.00,0.00
masen,masinèh,0.62,5,0.00,0.00,0.00
nyen,sayén,0.50,7,0.00,0.00,0.00
naseb,wajéb,0.50,10,0.00,0.00,0.00
musoh,mustahé,0.62,9,0.00,0.00,0.00
musikben,mungkén,0.50,10,0.00,0.00,0.00
mupalet,mupaké,0.57,9,0.00,0.00,0.00
munaph'ek,munaph'èk,0.90,1,1.00,0.10,0.10
mudek,kudôk,0.67,3,0.00,0.00,0.00
mubungkoh,pumeungklèh,0.58,7,1.00,0.10,0.10
muboi-boi,musikbèn,0.44,9,0.00,0.00,0.00
muble-ble,meugulé-gulé,0.50,6,0.00,0.00,0.00
mubeda,meubeudé,0.67,4,0.00,0.00,0.00
mubalek,mubèe,0.57,9,0.00,0.00,0.00
mubae,mubalék,0.62,10,0.00,0.00,0.00
nyeh,piyôh,0.50,9,0.00,0.00,0.00
numboi,teumbôn,0.50,9,0.00,0.00,0.00
neulet,peulét,0.71,3,0.00,0.00,0.00
nek,kôk,0.50,10,0.00,0.00,0.00
mustahe,musôh,0.57,5,0.00,0.00,0.00
musem,musôh,0.67,2,0.00,0.00,0.00
muphom,mupaké,0.57,5,0.00,0.00,0.00
mupake,muphôm,0.57,9,0.00,0.00,0.00
mungken,eungkôt,0.62,9,0.00,0.00,0.00
mumee,rumbèe,0.57,10,0.00,0.00,0.00
muleh,uléh,0.60,7,0.00,0.00,0.00
mubulee,mubalék,0.62,6,0.00,0.00,0.00
mublet-blet,meuikôt-ikôt,0.50,8,0.00,0.00,0.00
mubee,meuabèe,0.62,10,0.00,0.00,0.00
mubareh,mubalék,0.62,7,0.00,0.00,0.00
motel,mètè,0.50,9,0.00,0.00,0.00
modernisasi,modèrnisasi,0.92,1,1.00,0.10,0.10
milimete,miliôn,0.50,9,0.00,0.00,0.00
milek,tilék,0.67,3,0.00,0.00,0.00
mewah,mèwah,0.83,1,0.00,0.00,0.00
meuurot,meucuréh,0.67,10,0.00,0.00,0.00
meuunyet,meuurôt,0.62,4,0.00,0.00,0.00
meutumpok,teunumpôk,0.70,5,1.00,0.10,0.10
meutron,meutarôh,0.67,10,0.00,0.00,0.00
meuto-to,meutitèp,0.56,10,0.00,0.00,0.00
meuthon,peutrôn,0.62,10,0.00,0.00,0.00
menteuot,meuseuké,0.56,10,0.00,0.00,0.00
meutapeh,meutanggôh,0.64,7,0.00,0.00,0.00
meutanggoh,tanggôh,0.60,10,1.00,0.10,0.10
mantel,manyèt,0.57,9,0.00,0.00,0.00
mando,manéh,0.67,2,0.00,0.00,0.00
mameh,pumamèh,0.62,6,0.00,0.00,0.00
malem,hèlem,0.67,9,0.00,0.00,0.00
malee,pumalèe,0.62,10,0.00,0.00,0.00
mabok,mabôk,0.83,1,0.00,0.00,0.00
lusen,lukésan,0.62,4,0.00,0.00,0.00
moderen,meutrôn,0.50,7,0.00,0.00,0.00
misee,tipèe,0.50,10,0.00,0.00,0.00
minet,menteuôt,0.56,10,0.00,0.00,0.00
milion,èsèlon,0.50,9,0.00,0.00,0.00
mikroskop,siklép-siklap,0.43,10,0.00,0.00,0.00
meuturot-turot,peutumpôk-tumpôk,0.50,7,0.00,0.00,0.00
meutudong,meutudông,0.90,1,1.00,0.10,0.10
meutitep,meutapéh,0.56,10,0.00,0.00,0.00
meutaroh,meunarék,0.67,10,0.00,0.00,0.00
meutaot,meucatèt,0.67,10,0.00,0.00,0.00
meusyedara,meusaré,0.60,6,1.00,0.10,0.10
meusurot,meucuréh,0.67,8,0.00,0.00,0.00
Maret,parôt,0.67,3,0.00,0.00,0.00
manyet,manyèt,0.86,1,0.00,0.00,0.00
mantega,mantèl,0.57,9,0.00,0.00,0.00
mangkong,langsông,0.67,10,0.00,0.00,0.00
maneh,masinèh,0.62,8,0.00,0.00,0.00
malot,mupalét,0.62,6,0.00,0.00,0.00
malee-malee,calam-malôm,0.58,2,0.00,0.00,0.00
lungkee,lingkôk,0.62,10,0.00,0.00,0.00
lunceng,puntông,0.62,10,0.00,0.00,0.00
lumpok,tampôk,0.57,9,0.00,0.00,0.00
lumbem,gumbôk,0.57,10,0.00,0.00,0.00
luloh,uléh,0.60,8,0.00,0.00,0.00
lukesan,èlèktron,0.50,10,0.00,0.00,0.00
loteng,patông,0.57,7,0.00,0.00,0.00
lop,tôp,0.50,10,0.00,0.00,0.00
long,wéng,0.60,8,0.00,0.00,0.00
lon,èsèlon,0.62,8,0.00,0.00,0.00
logat,lagôt,0.67,2,0.00,0.00,0.00
lisek,léstrék,0.56,10,0.00,0.00,0.00
lipeh,ipôh,0.60,9,0.00,0.00,0.00
lingkok,linggéh,0.62,9,0.00,0.00,0.00
linggeh,lingkôk,0.62,4,0.00,0.00,0.00
lilet,cilèt,0.67,7,0.00,0.00,0.00
lilen,lilét,0.67,3,0.00,0.00,0.00
Ihon,èsèlon,0.50,10,0.00,0.00,0.00
leunde,éleumèe,0.67,4,0.00,0.00,0.00
leumbot,seumpét,0.62,8,0.00,0.00,0.00
leuho,leubô,0.67,9,0.00,0.00,0.00
leugot,peugèt,0.71,4,1.00,0.10,0.10
leubeng,reubông,0.75,6,0.00,0.00,0.00
leubeh,reubôh,0.71,3,0.00,0.00,0.00
let,laôt,0.60,9,1.00,0.10,0.10
lensa,séksa,0.50,10,0.00,0.00,0.00
leklang,leubéng,0.62,3,0.00,0.00,0.00
layee,kayèe,0.67,8,0.00,0.00,0.00
lawet,laôt,0.60,8,0.00,0.00,0.00
lapeh,la'èh,0.67,6,0.00,0.00,0.00
lambong,rambông,0.75,4,0.00,0.00,0.00
lukeh,ukeè,0.60,5,0.00,0.00,0.00
lotre,motèl,0.50,10,0.00,0.00,0.00
lonte,panté,0.50,10,0.00,0.00,0.00
lite,tipèe,0.50,9,0.00,0.00,0.00
linggong,langsông,0.67,9,0.00,0.00,0.00
likot,lilét,0.67,4,0.00,0.00,0.00
lhok,lhôk,0.80,1,0.00,0.00,0.00
Ihoh,èlèh,0.50,8,1.00,0.10,0.10
Ihee,lahèe,0.50,10,0.00,0.00,0.00
leungkong,leungkông,0.90,1,1.00,0.10,0.10
leumbeng,meusambông,0.64,10,0.00,0.00,0.00
leubo,leuhô,0.67,7,0.00,0.00,0.00
letnan,peuténah,0.56,10,0.00,0.00,0.00
lestrek,peutrôh,0.50,9,0.00,0.00,0.00
leng,wéng,0.60,10,0.00,0.00,0.00
lem,hèlem,0.67,10,0.00,0.00,0.00
le,lôp,0.50,10,1.00,0.10,0.10
layoh,jayéh,0.67,5,0.00,0.00,0.00
laot,lalô,0.60,8,0.00,0.00,0.00
langsong,mangkông,0.67,10,0.00,0.00,0.00
langet,lagôt,0.67,7,0.00,0.00,0.00
landok,langèt,0.57,10,1.00,0.10,0.10
lampoh,sampôh,0.71,2,0.00,0.00,0.00
lambayong,rambông,0.56,10,1.00,0.10,0.10
lalorat,salôran,0.62,3,0.00,0.00,0.00
lalo,laén,0.60,10,0.00,0.00,0.00
lalee,lalém,0.67,10,0.00,0.00,0.00
laklem,parlemèn,0.56,8,0.00,0.00,0.00
lahe,laén,0.60,9,0.00,0.00,0.00
lagot,laôt,0.60,10,0.00,0.00,0.00
lagee,lahèe,0.67,10,0.00,0.00,0.00
ladom,lalém,0.67,5,0.00,0.00,0.00
ladem,lalém,0.67,4,0.00,0.00,0.00
labo,lalô,0.60,10,0.00,0.00,0.00
la'eh,lapéh,0.67,3,0.00,0.00,0.00
kutep,kuncôp,0.57,10,0.00,0.00,0.00
kunengan,kontingèn,0.60,6,0.00,0.00,0.00
kuncop,pancopèt,0.56,4,0.00,0.00,0.00
kulet,pulôt,0.67,5,0.00,0.00,0.00
kueh,kukôh,0.67,7,1.00,0.10,0.10
kude,tubèe,0.50,10,0.00,0.00,0.00
kualitet,kualitét,0.89,1,0.00,0.00,0.00
etnologi,géôlôgi,0.50,8,0.00,0.00,0.00
etimologi,ètnologi,0.67,2,1.00,0.10,0.10
eseutilah,teupiléh,0.56,7,1.00,0.10,0.10
eselon,resimèn,0.50,10,0.00,0.00,0.00
enseueh,énseueh,0.88,1,0.00,0.00,0.00
embe,tambô,0.50,10,0.00,0.00,0.00
lalem,hèlem,0.67,10,0.00,0.00,0.00
lakee,lagèe,0.67,7,0.00,0.00,0.00
lahee,lagèe,0.67,6,0.00,0.00,0.00
laen,labô,0.60,10,0.00,0.00,0.00
kutop,teutôp,0.57,10,0.00,0.00,0.00
kurek,krèk,0.60,10,0.00,0.00,0.00
kupong,keupéng,0.75,4,0.00,0.00,0.00
kukoh,cukèh,0.67,5,0.00,0.00,0.00
kudok,kurék,0.67,6,0.00,0.00,0.00
kuarto,mubaréh,0.50,7,0.00,0.00,0.00
krot,krèk,0.60,6,0.00,0.00,0.00
kronomete,kronomètè,0.82,1,0.00,0.00,0.00
krek,grèk,0.60,10,0.00,0.00,0.00
kreh,kuéh,0.60,10,0.00,0.00,0.00
krangkeng,meuranggông,0.58,8,1.00,0.10,0.10
korset,krôt,0.50,9,0.00,0.00,0.00
kontrasepsi,kontrasèpsi,0.92,1,1.00,0.10,0.10
kontingen,sunténg,0.44,10,1.00,0.10,0.10
konsep,kontrasèpsi,0.50,10,0.00,0.00,0.00
kok,kôk,0.75,1,0.00,0.00,0.00
klep,lôp,0.50,8,0.00,0.00,0.00
kiree,tiréh,0.50,9,0.00,0.00,0.00
keurubet,keurubét,0.89,1,0.00,0.00,0.00
keureukon,ceureumèn,0.70,7,1.00,0.10,0.10
keuphon,keupéng,0.62,8,0.00,0.00,0.00
keumirem,teumirèe,0.67,5,0.00,0.00,0.00
keumawe,seumaté,0.62,6,0.00,0.00,0.00
keudee,seudéh,0.57,10,0.00,0.00,0.00
komponen,èsmènèn,0.50,5,0.00,0.00,0.00
kom,ukôm,0.60,10,0.00,0.00,0.00
kolonen,kronomètè,0.45,9,0.00,0.00,0.00
koeisien,kontingèn,0.50,5,0.00,0.00,0.00
kiroh,kréh,0.60,10,0.00,0.00,0.00
kirem,kirèe,0.67,3,0.00,0.00,0.00
khem,rhém,0.60,2,0.00,0.00,0.00
keurusong,seureléng,0.60,10,1.00,0.10,0.10
keureuleng,seureléng,0.70,10,1.00,0.10,0.10
keupong,teupông,0.75,4,0.00,0.00,0.00
keupeng,kupông,0.71,9,0.00,0.00,0.00
keunyeh,peuneuyôh,0.60,6,0.00,0.00,0.00
keundo,keunyèh,0.62,10,0.00,0.00,0.00
keulileng,peulindông,0.64,10,1.00,0.10,0.10
keuleudee,peuleugôt,0.60,10,1.00,0.10,0.10
keulabee,meuabèe,0.62,8,0.00,0.00,0.00
kereta,peureuté,0.56,9,0.00,0.00,0.00
kemah,keumawé,0.62,5,0.00,0.00,0.00
keju,kèju,0.80,1,0.00,0.00,0.00
kayee,kayém,0.67,4,0.00,0.00,0.00
kawoh,kawèn,0.67,5,0.00,0.00,0.00
kaset,kadèt,0.67,4,0.00,0.00,0.00
karonya,karônya,0.88,1,0.00,0.00,0.00
kareubet,reubôt,0.62,5,0.00,0.00,0.00
kapiten,katôn,0.57,5,0.00,0.00,0.00
kaphe,kayèe,0.67,3,0.00,0.00,0.00
kanto,panté,0.67,3,0.00,0.00,0.00
kameng,tamèng,0.71,3,0.00,0.00,0.00
kadet,kasèt,0.67,4,0.00,0.00,0.00
kabupaten,kapitèn,0.56,3,1.00,0.10,0.10
kabinet,kabarèt,0.62,3,0.00,0.00,0.00
kabaret,kabinèt,0.62,3,0.00,0.00,0.00
jujor,èkspor,0.43,10,0.00,0.00,0.00
jok,wajék,0.50,10,0.00,0.00,0.00
jilet,cilèt,0.67,6,0.00,0.00,0.00
jeulamee,keulabèe,0.67,8,0.00,0.00,0.00
eumbon,seumèn,0.57,9,0.00,0.00,0.00
kense,teuntèe,0.50,8,0.00,0.00,0.00
keker,teukeséh,0.44,10,0.00,0.00,0.00
keh,yôh,0.50,10,0.00,0.00,0.00
kayem,kawôm,0.67,3,0.00,0.00,0.00
kawom,kawèn,0.67,4,0.00,0.00,0.00
kawen,katôn,0.67,5,0.00,0.00,0.00
katon,kapitèn,0.62,9,0.00,0.00,0.00
kaso,wasé,0.60,4,0.00,0.00,0.00
kapho,kaphé,0.83,2,0.00,0.00,0.00
kandongan,kontingèn,0.60,8,1.00,0.10,0.10
kadot,kasèt,0.67,5,0.00,0.00,0.00
jurong,jundrông,0.67,7,0.00,0.00,0.00
juree,urèe,0.60,4,0.00,0.00,0.00
jundrong,jurông,0.62,8,0.00,0.00,0.00
jho,jén,0.50,10,0.00,0.00,0.00
jeuoh,reuôh,0.67,4,0.00,0.00,0.00
jeunamee,meujamèe,0.67,5,0.00,0.00,0.00
jeuee,jeuôh,0.67,6,0.00,0.00,0.00
jep,resèp,0.50,9,0.00,0.00,0.00
jen,jép,0.50,9,0.00,0.00,0.00
jayeh,jadèh,0.67,3,0.00,0.00,0.00
jarom,harôm,0.67,3,0.00,0.00,0.00
jareueng,jaréueng,0.89,1,0.00,0.00,0.00
jareng,jagông,0.71,9,0.00,0.00,0.00
jantong,janéng,0.71,9,0.00,0.00,0.00
jangket,tangkéh,0.62,10,0.00,0.00,0.00
janggot,sanggôp,0.62,10,0.00,0.00,0.00
janeng,jaréueng,0.67,6,0.00,0.00,0.00
jamprong,gampông,0.62,7,0.00,0.00,0.00
jampok,tampôk,0.71,4,0.00,0.00,0.00
jamoe,damée,0.67,8,0.00,0.00,0.00
jambo,gambé,0.67,5,0.00,0.00,0.00
jalo,lalô,0.60,6,0.00,0.00,0.00
jagong,janéng,0.71,5,0.00,0.00,0.00
ipoh,tipôih,0.57,10,0.00,0.00,0.00
ileh,gléh,0.60,10,0.00,0.00,0.00
ikot,diskèt,0.57,10,0.00,0.00,0.00
hukoman,meukèmah,0.56,10,0.00,0.00,0.00
homoseks,koèisièn,0.40,4,0.00,0.00,0.00
hoi,dhôi,0.60,5,0.00,0.00,0.00
hidrolik,hidrôlik,0.89,1,0.00,0.00,0.00
helikopter,likôt,0.40,10,1.00,0.10,0.10
hekeuta,hèkeuta,0.88,1,0.00,0.00,0.00
hek,nèk,0.50,9,0.00,0.00,0.00
harom,harôh,0.67,4,0.00,0.00,0.00
haroh,haléh,0.67,10,0.00,0.00,0.00
etnografi,ètnologi,0.44,8,1.00,0.10,0.10
haloh,harôh,0.67,6,0.00,0.00,0.00
haleh,harôh,0.67,8,0.00,0.00,0.00
jadeh,gadôh,0.67,4,0.00,0.00,0.00
jabep,salôp,0.50,10,0.00,0.00,0.00
itek,ipôk,0.60,4,0.00,0.00,0.00
ireh,iléh,0.60,10,0.00,0.00,0.00
ipok,tipèe,0.50,10,0.00,0.00,0.00
implensa,sampôreuna,0.45,7,0.00,0.00,0.00
ile,tipèe,0.50,10,0.00,0.00,0.00
iklem,polém,0.50,10,0.00,0.00,0.00
ijo,ilé,0.50,8,0.00,0.00,0.00
idong,idông,0.83,1,0.00,0.00,0.00
hukom,èseukrém,0.50,8,0.00,0.00,0.00
hotel,porselén,0.44,9,0.00,0.00,0.00
himbee,siribèe,0.50,6,0.00,0.00,0.00
hemat,seumaté,0.62,4,0.00,0.00,0.00
helem,hèlem,0.83,1,0.00,0.00,0.00
hebat,meuatô,0.57,9,0.00,0.00,0.00
hase,taksé,0.50,10,0.00,0.00,0.00
haro-hara,sandéwara,0.50,5,1.00,0.10,0.10
hambo,himbèe,0.57,10,0.00,0.00,0.00
hader,hadér,0.83,1,0.00,0.00,0.00
esmenen,èsmènèn,0.70,1,0.00,0.00,0.00
gutee,gukée,0.67,4,0.00,0.00,0.00
guree,urèe,0.60,9,0.00,0.00,0.00
eseukrem,seurenè,0.50,7,0.00,0.00,0.00
engse,sagèe,0.50,10,0.00,0.00,0.00
endatu,seumaté,0.50,6,0.00,0.00,0.00
emlak,teulôk,0.57,9,0.00,0.00,0.00
eleumee,keuleudèe,0.60,2,0.00,0.00,0.00
eleuham,éleuham,0.88,1,0.00,0.00,0.00
elektron,réflèktor,0.45,10,0.00,0.00,0.00
eleh,gléh,0.60,7,0.00,0.00,0.00
ekspor,èlèktron,0.40,10,0.00,0.00,0.00
eklektik,réflèktor,0.45,10,0.00,0.00,0.00
ek,peuék,0.50,10,0.00,0.00,0.00
ek,peuék,0.50,10,0.00,0.00,0.00
eh,péh,0.50,10,0.00,0.00,0.00
eh,péh,0.50,10,0.00,0.00,0.00
edisi,télépisi,0.50,10,0.00,0.00,0.00
'et,lét,0.50,10,0.00,0.00,0.00
'emblem,rumbèe,0.43,10,0.00,0.00,0.00
duson,èsèlon,0.50,10,0.00,0.00,0.00
dumpet,tumpôi,0.57,10,0.00,0.00,0.00
gureng,urông,0.67,4,0.00,0.00,0.00
gunteng,untông,0.71,6,0.00,0.00,0.00
gumbok,lumpôk,0.57,10,0.00,0.00,0.00
gulong,giléng,0.71,7,0.00,0.00,0.00
gulee,ulèe,0.60,6,0.00,0.00,0.00
gule,ulèe,0.60,6,0.00,0.00,0.00
gukee,ukeè,0.60,8,0.00,0.00,0.00
gugop,gugôp,0.83,1,0.00,0.00,0.00
grek,dèrèk,0.57,10,0.00,0.00,0.00
gorden,gurèe,0.50,7,0.00,0.00,0.00
gogah,gigèh,0.67,3,0.00,0.00,0.00
go-go,gordèn,0.43,7,0.00,0.00,0.00
glong,giléng,0.71,4,0.00,0.00,0.00
gleh,éleuham,0.50,10,0.00,0.00,0.00
ginseng,gunténg,0.62,3,0.00,0.00,0.00
gileng,glông,0.67,6,0.00,0.00,0.00
gigeh,gôgah,0.67,2,0.00,0.00,0.00
geureupoh,peureuséh,0.70,7,1.00,0.10,0.10
geuntot,teuntèe,0.62,8,0.00,0.00,0.00
geunteng,euntông,0.75,9,0.00,0.00,0.00
geunaseh,peunajôh,0.67,5,0.00,0.00,0.00
geumaseh,geumadèe,0.67,6,0.00,0.00,0.00
geuleumbong,meulambông,0.64,10,1.00,0.10,0.10
geometris,meuseuliséh,0.42,10,0.00,0.00,0.00
geographis,mengrôp-grôp,0.43,9,1.00,0.10,0.10
gayep,gayông,0.57,9,0.00,0.00,0.00
gareh,gabôh,0.67,10,0.00,0.00,0.00
ganje,gandôm,0.57,10,0.00,0.00,0.00
gandom,candén,0.57,9,0.00,0.00,0.00
gampong,rambông,0.62,10,0.00,0.00,0.00
gamet,gambé,0.67,5,0.00,0.00,0.00
gadoh,gabôh,0.67,7,1.00,0.10,0.10
gabong,gadéng,0.71,5,0.00,0.00,0.00
g'eng-g'ong,punggông,0.45,10,1.00,0.10,0.10
geuten,geutèn,0.86,1,0.00,0.00,0.00
geunulong,geunténg,0.67,9,1.00,0.10,0.10
geumadee,teumipèe,0.56,10,0.00,0.00,0.00
geudong,geudông,0.88,1,0.00,0.00,0.00
geologi,géodési,0.56,6,0.00,0.00,0.00
geodesi,geunaséh,0.44,10,0.00,0.00,0.00
gayong,dayông,0.71,7,0.00,0.00,0.00
gaseng,gabông,0.71,5,0.00,0.00,0.00
gaseh,gabôh,0.67,7,0.00,0.00,0.00
garo,saré,0.60,6,0.00,0.00,0.00
gaon,garô,0.60,9,0.00,0.00,0.00
gamlomlam,gamlômlam,0.90,1,1.00,0.10,0.10
gambe,damée,0.67,9,0.00,0.00,0.00
gadeng,gabông,0.71,4,0.00,0.00,0.00
gaboh,gadôh,0.67,6,0.00,0.00,0.00
euntong,untông,0.71,10,0.00,0.00,0.00
eungkot,seulangkôt,0.64,10,0.00,0.00,0.00
duane,sukèe,0.50,10,0.00,0.00,0.00
dompet,rumpét,0.57,6,0.00,0.00,0.00
do'a,dèsya,0.50,7,0.00,0.00,0.00
dhoi,èdisi,0.50,6,0.00,0.00,0.00
deumpoi,tumpôi,0.57,5,0.00,0.00,0.00
desya,dusôn,0.50,10,0.00,0.00,0.00
Desember,meusambông,0.45,7,0.00,0.00,0.00
denden,seurenè,0.50,8,0.00,0.00,0.00
dayong,dalông,0.71,5,0.00,0.00,0.00
damee,jamôe,0.67,2,0.00,0.00,0.00
cungke,singkèe,0.62,10,0.00,0.00,0.00
cumbong,lambông,0.62,8,0.00,0.00,0.00
culek,culék,0.83,1,0.00,0.00,0.00
donya,karônya,0.50,9,0.00,0.00,0.00
disket,tikèt,0.50,6,0.00,0.00,0.00
dhot,dhôi,0.60,6,0.00,0.00,0.00
deutek,reuték,0.71,4,0.00,0.00,0.00
derek,deutèk,0.57,10,0.00,0.00,0.00
dek,deutèk,0.57,10,0.00,0.00,0.00
debet,reubôt,0.57,10,0.00,0.00,0.00
darohaka,harô-hara,0.60,3,0.00,0.00,0.00
dalong,dayông,0.71,4,0.00,0.00,0.00
cungkeh,eungkôt,0.62,10,0.00,0.00,0.00
cumeh,tumôn,0.50,10,0.00,0.00,0.00
cuko,cungké,0.57,10,0.00,0.00,0.00
cukeh,ukeè,0.60,7,0.00,0.00,0.00
cukee,cukô,0.60,7,0.00,0.00,0.00
croh,kréh,0.60,10,0.00,0.00,0.00
cre-bre,reubôh,0.43,10,0.00,0.00,0.00
cre,mèe,0.50,10,0.00,0.00,0.00
cr'ek,cr'èk,0.83,1,0.00,0.00,0.00
con,céng,0.60,10,0.00,0.00,0.00
ciret,tiréh,0.50,10,0.00,0.00,0.00
cicem,cirét,0.50,10,0.00,0.00,0.00
ceureudek,ceureumèn,0.70,3,1.00,0.10,0.10
ceumarot,teumakôt,0.67,3,0.00,0.00,0.00
cetak,cètak,0.83,1,0.00,0.00,0.00
ceng,pèng,0.60,10,0.00,0.00,0.00
cedaga,syèdara,0.50,9,0.00,0.00,0.00
catetan,catètan,0.88,1,0.00,0.00,0.00
cangkoi,tangkéh,0.62,9,0.00,0.00,0.00
canden,pantôn,0.57,10,0.00,0.00,0.00
calam-malom,malèe-malèe,0.62,3,1.00,0.10,0.10
cagee,lagèe,0.67,4,0.00,0.00,0.00
cae,cagée,0.67,7,0.00,0.00,0.00
