Keyword,Expected,Algorithm Accuracy Result,Priority Number,Average Precision,Precision,Recall
tapeh,tapeusé,0.62,5,0.00,0.00,0.00
tanjong,sanjông,0.75,5,0.00,0.00,0.00
tangkeh,tangké,0.71,6,0.00,0.00,0.00
tangke,pangkèe,0.75,5,0.00,0.00,0.00
tangilek,tilék,0.50,9,0.00,0.00,0.00
tanggong,punggông,0.67,10,0.00,0.00,0.00
tanggoh,tangkéh,0.75,2,0.00,0.00,0.00
tandeng,tanggông,0.67,9,0.00,0.00,0.00
tamse,damée,0.67,7,0.00,0.00,0.00
tampureh,sampôreuna,0.55,6,0.00,0.00,0.00
tampuleng,tulông,0.56,6,1.00,0.10,0.10
tampok,jampôk,0.71,6,0.00,0.00,0.00
tameng,kamèng,0.71,5,0.00,0.00,0.00
tameh,maméh,0.67,7,0.00,0.00,0.00
tambo,gambé,0.67,7,0.00,0.00,0.00
tamadon,tamadôn,0.88,1,0.00,0.00,0.00
talo,lalô,0.60,9,0.00,0.00,0.00
takse,lakèe,0.67,6,0.00,0.00,0.00
takot,pakèt,0.67,8,0.00,0.00,0.00
taklok,tampôk,0.57,10,0.00,0.00,0.00
taklet,laklém,0.57,9,0.00,0.00,0.00
takjop,tanjông,0.50,10,0.00,0.00,0.00
tablet,tèbat,0.50,10,0.00,0.00,0.00
syuko,sukèe,0.50,6,0.00,0.00,0.00
syetan,syèdaga,0.50,9,0.00,0.00,0.00
syedara,sandéwara,0.60,5,0.00,0.00,0.00
syedaga,sandéwara,0.50,8,0.00,0.00,0.00
syarikoh,syarikôh,0.89,1,0.00,0.00,0.00
suwe,syukô,0.50,10,0.00,0.00,0.00
susot,sugôt,0.67,5,0.00,0.00,0.00
suson,èsèlon,0.62,5,0.00,0.00,0.00
surot,sugôt,0.67,6,0.00,0.00,0.00
suroh,puréh,0.67,4,0.00,0.00,0.00
supe,seupét,0.57,9,0.00,0.00,0.00
sunteng,sanjông,0.62,10,0.00,0.00,0.00
sunggoh-sunggoh,sunggôh-sunggôh,0.88,1,0.00,0.00,0.00
sulotan,silophôn,0.56,10,0.00,0.00,0.00
sulong,gulông,0.71,5,0.00,0.00,0.00
sulet,pulôt,0.67,9,0.00,0.00,0.00
suleng,gulông,0.71,5,0.00,0.00,0.00
sukee,ukeè,0.60,6,0.00,0.00,0.00
sukarela,sukèe,0.50,7,0.00,0.00,0.00
sugot,sulét,0.67,4,0.00,0.00,0.00
sudep,susôt,0.50,10,0.00,0.00,0.00
strop,sikrôp,0.57,10,0.00,0.00,0.00
sosah,sôhsah,0.71,2,0.00,0.00,0.00
sop,supé,0.60,9,0.00,0.00,0.00
soneta,sulôtan,0.50,6,0.00,0.00,0.00
sohsah,séksa,0.50,4,0.00,0.00,0.00
soh,sôh,0.75,2,1.00,0.10,0.10
skema,seumaté,0.50,9,0.00,0.00,0.00
siribee,singkèe,0.50,8,0.00,0.00,0.00
sereutoh,sereutôh,0.89,1,0.00,0.00,0.00
sirep,sirènè,0.62,4,0.00,0.00,0.00
sirene,tirèe,0.50,9,0.00,0.00,0.00
sipre,sipôt,0.67,3,0.00,0.00,0.00
sipot,pipèt,0.67,5,0.00,0.00,0.00
siploh,triplèk,0.50,8,0.00,0.00,0.00
singkee,lingkôk,0.62,10,0.00,0.00,0.00
singet,singkèe,0.62,6,0.00,0.00,0.00
sinde,singèt,0.57,10,0.00,0.00,0.00
simeureulet,seureulông,0.55,9,1.00,0.10,0.10
silophon,piléhan,0.50,9,0.00,0.00,0.00
sikureuengploh,sikureuengplôh,0.93,1,1.00,0.10,0.10
sikrop,strôp,0.50,10,0.00,0.00,0.00
siklep-siklap,sikureuengplôh,0.40,8,1.00,0.10,0.10
sijudo,sindé,0.50,9,0.00,0.00,0.00
sibandeng,tandéng,0.56,6,1.00,0.10,0.10
seurene,seureulông,0.64,7,0.00,0.00,0.00
seurumpet,meutumpôk,0.60,10,1.00,0.10,0.10
seureleng,seurenè,0.67,9,1.00,0.10,0.10
seureulong,seuneulhông,0.75,6,1.00,0.10,0.10
