Keyword,Expected,Algorithm Accuracy Result,Priority Number,Recommendation Accuracy Result
yok,yôk,0.67,6,0.50
yoh,yôh,0.67,8,0.30
weng,wéng,0.75,2,0.90
weh,wèh,0.67,2,0.90
wase,wasé,0.75,2,0.90
wareh,waréh,0.80,2,0.90
wajek,wajék,0.80,1,1.00
wajeb,wajéb,0.80,1,1.00
utom,utôm,0.75,2,0.90
utoh,utôh,0.75,2,0.90
usos,usôs,0.75,2,0.90
use,usé,0.67,2,0.90
urotan,urôtan,0.83,1,1.00
urosan,urôsan,0.83,1,1.00
urong,urông,0.80,3,0.80
seukreng,seukréng,0.88,1,1.00
uree,urèe,0.75,2,0.90
unyet,unyèt,0.80,1,1.00
untong,untông,0.83,1,1.00
unggoi,unggôi,0.83,1,1.00
uleh,uléh,0.75,1,1.00
ulee,ulèe,0.75,4,0.70
ukoran,ukôran,0.83,1,1.00
ukom,ukôm,0.75,1,1.00
uko,uké,0.67,1,1.00
ukee,ukeè,0.75,2,0.90
uke,uké,0.67,1,1.00
ujop,ujôp,0.75,1,1.00
ujong,ujông,0.80,1,1.00
udep,udép,0.75,1,1.00
tutoong,tutôong,0.86,1,1.00
tuto,tutô,0.75,3,0.80
turonan,turônan,0.86,1,1.00
turon-muron,turôn-murôn,0.82,1,1.00
tupee,tupée,0.80,2,0.90
tungkoi,tungkôi,0.86,1,1.00
tumpok,tumpôk,0.83,1,1.00
tumpoi,tumpôi,0.83,1,1.00
tumet,tumèt,0.80,2,0.90
tumon,tumôn,0.80,2,0.90
tulong,tulông,0.83,1,1.00
tuleh,tuléh,0.80,1,1.00
tuka-take,tuka-také,0.89,1,1.00
tujoh,tujôh,0.80,1,1.00
tujoan,tujôan,0.83,1,1.00
tudoh,tudôh,0.80,1,1.00
tuboh,tubôh,0.80,3,0.80
tubee,tubèe,0.80,2,0.90
tron,trôn,0.75,5,0.60
trompet,trompèt,0.86,1,1.00
troh,trôh,0.75,6,0.50
triplek,triplèk,0.86,1,1.00
trep,trép,0.75,1,1.00
tot,tôt,0.67,9,0.20
topeng,topèng,0.83,1,1.00
top,tôp,0.67,2,0.90
tong,tông,0.75,1,1.00
titep,titèp,0.80,1,1.00
titel,titèl,0.80,1,1.00
titek,titék,0.80,2,0.90
tireh,tiréh,0.80,1,1.00
tiree,tirèe,0.80,1,1.00
tipoih,tipôih,0.83,1,1.00
tipee,tipèe,0.80,1,1.00
tiong,tiông,0.80,1,1.00
tinggong,tinggông,0.88,1,1.00
tilek,tilék,0.80,1,1.00
tikoh,tikôh,0.80,2,0.90
tiket,tikèt,0.80,1,1.00
tho,thô,0.67,1,1.00
teutop,teutôp,0.83,2,0.90
teurupong,teurupông,0.89,1,1.00
teurmometer,teurmomètèr,0.82,1,1.00
teureubeh,teureubéh,0.89,1,1.00
teupreh,teuprèh,0.86,1,1.00
teupong,teupông,0.86,1,1.00
teupileh,teupiléh,0.88,1,1.00
teupeulindong,teupeulindông,0.92,1,1.00
teunumpok,teunumpôk,0.89,1,1.00
teuntee,teuntèe,0.86,1,1.00
teunireh,teuniréh,0.88,1,1.00
teuniree,teunirèe,0.88,1,1.00
teuneuboh,teuneubôh,0.89,1,1.00
teunaroh,teunarôh,0.88,1,1.00
teumiree,teumirèe,0.88,1,1.00
teumipee,teumipèe,0.88,1,1.00
teumeutot,teumeutôt,0.89,1,1.00
teumbon,teumbôn,0.86,1,1.00
teumasok,teumasôk,0.88,1,1.00
teumakot,teumakôt,0.88,1,1.00
teulok,teulôk,0.83,2,0.90
teulhon,teulhôn,0.86,1,1.00
teuleubeh,teuleubèh,0.89,1,1.00
teukeseh,teukeséh,0.88,1,1.00
teukejot,teukejôt,0.88,1,1.00
teugok,teugôk,0.83,4,0.70
teugoh,teugôh,0.83,6,0.50
teugo,teugô,0.80,3,0.80
teuceuek,teuceuèk,0.88,1,1.00
teuboh,teubôh,0.83,3,0.80
teubeng,teubéng,0.86,2,0.90
tet-tot,tèt-tot,0.86,1,1.00
tenda,tènda,0.80,3,0.80
tempe,tèmpè,0.60,4,0.70
tempe,tèmpè,0.60,4,0.70
tema,tèma,0.75,2,0.90
tem,tém,0.67,4,0.70
telepisi,télépisi,0.75,1,1.00
teksi,tèksi,0.80,1,1.00
tebat,tèbat,0.80,1,1.00
tauge,taugé,0.80,1,1.00
taroh,tarôh,0.80,4,0.70
tarep,tarép,0.80,1,1.00
tarek,tarék,0.80,1,1.00
tapeuse,tapeusé,0.86,1,1.00
tapeh,tapéh,0.80,1,1.00
tanjong,tanjông,0.86,1,1.00
tangkeh,tangkéh,0.86,2,0.90
tangke,tangké,0.83,3,0.80
tangilek,tangilék,0.88,1,1.00
tanggong,tanggông,0.88,1,1.00
tanggoh,tanggôh,0.86,1,1.00
tandeng,tandéng,0.86,1,1.00
tamse,tamsé,0.80,1,1.00
tampureh,tampuréh,0.88,1,1.00
tampuleng,tampuléng,0.89,1,1.00
tampok,tampôk,0.83,2,0.90
tameng,tamèng,0.83,3,0.80
tameh,tamèh,0.80,1,1.00
tambo,tambô,0.80,1,1.00
tamadon,tamadôn,0.86,1,1.00
talo,talô,0.75,2,0.90
takse,taksé,0.80,2,0.90
takot,takôt,0.80,1,1.00
taklok,taklôk,0.83,1,1.00
taklet,taklét,0.83,1,1.00
takjop,takjôp,0.83,1,1.00
tablet,tablèt,0.83,1,1.00
syuko,syukô,0.80,1,1.00
syetan,syètan,0.83,1,1.00
syedara,syèdara,0.86,1,1.00
syedaga,syèdaga,0.86,1,1.00
syarikoh,syarikôh,0.88,1,1.00
suwe,suwé,0.75,1,1.00
susot,susôt,0.80,1,1.00
suson,susôn,0.80,1,1.00
surot,surôt,0.80,1,1.00
suroh,surôh,0.80,1,1.00
supe,supé,0.75,1,1.00
sunteng,sunténg,0.86,1,1.00
sunggoh-sunggoh,sunggôh-sunggôh,0.87,1,1.00
sulotan,sulôtan,0.86,1,1.00
sulong,sulông,0.83,1,1.00
sulet,sulét,0.80,2,0.90
suleng,suléng,0.83,1,1.00
sukee,sukèe,0.80,2,0.90
sukarela,sukarèla,0.88,1,1.00
sugot,sugôt,0.80,1,1.00
sudep,sudép,0.80,1,1.00
strop,strôp,0.80,1,1.00
sosah,sôsah,0.80,1,1.00
sop,sép,0.67,2,0.90
soneta,sonèta,0.83,1,1.00
sohsah,sôhsah,0.83,1,1.00
soh,sôh,0.67,4,0.70
skema,skèma,0.80,1,1.00
siribee,siribèe,0.86,1,1.00
sereutoh,sereutôh,0.88,1,1.00
sirep,sirép,0.80,1,1.00
sirene,sirènè,0.67,1,1.00
sipre,sipré,0.80,1,1.00
sipot,sipôt,0.80,2,0.90
siploh,siplôh,0.83,1,1.00
singkee,singkèe,0.86,1,1.00
singet,singèt,0.83,1,1.00
sinde,sindé,0.80,1,1.00
simeureulet,simeureulét,0.91,1,1.00
silophon,silophôn,0.88,1,1.00
sikureuengploh,sikureuengplôh,0.93,1,1.00
sikrop,sikrôp,0.83,1,1.00
siklep-siklap,siklép-siklap,0.92,1,1.00
sijudo,sijudô,0.83,1,1.00
sibandeng,sibandéng,0.89,1,1.00
seurene,seurenè,0.86,1,1.00
seurumpet,seurumpét,0.89,1,1.00
seureleng,seureléng,0.89,1,1.00
seureulong,seureulông,0.90,1,1.00
seurabee,seurabèe,0.88,1,1.00
seupot,seupét,0.83,1,1.00
seupoh,seupôh,0.83,2,0.90
seupet,seupét,0.83,1,1.00
seunuson,seunusôn,0.88,1,1.00
seunungkee,seunungkèe,0.90,1,1.00
seunte,seunté,0.83,1,1.00
seuneuron,seuneurôn,0.89,1,1.00
seuneupet,seuneupét,0.89,1,1.00
seuneulhong,seuneulhông,0.91,1,1.00
seunareng,seunaréng,0.89,1,1.00
seunambong,seunambông,0.90,1,1.00
seunalop,seunalôp,0.88,1,1.00
seunalen,seunalèn,0.88,1,1.00
seumulet,seumulét,0.88,1,1.00
seumporna,seumpôrna,0.89,1,1.00
seumpet,seumpét,0.86,1,1.00
seumike,seumiké,0.86,1,1.00
seumeulhoh,seumeulhôh,0.90,1,1.00
seumen,seumèn,0.83,1,1.00
seumbo,seumbô,0.83,1,1.00
seumateh,seumatéh,0.88,1,1.00
seumate,seumaté,0.86,2,0.90
seuliseh,seuliséh,0.88,1,1.00
seulimeng,seulimèng,0.89,1,1.00
seulidek,seulidék,0.88,1,1.00
seulangkot,seulangkôt,0.90,1,1.00
seudeh,seudéh,0.83,1,1.00
seubaroh,seubarôh,0.88,1,1.00
seubaro,seubarô,0.86,1,1.00
sep,sôp,0.67,2,0.90
sente,sèntè,0.60,1,1.00
seng,sèng,0.75,2,0.90
sel,sèl,0.67,1,1.00
seksa,séksa,0.80,1,1.00
,,0.00,0,0.00
sayen,sayén,0.80,1,1.00
sawo,sawô,0.75,1,1.00
sate,saté,0.75,2,0.90
sarong,saréng,0.83,2,0.90
sareng,sarông,0.83,1,1.00
sare,saré,0.75,1,1.00
santon,santôn,0.83,1,1.00
sanjong,sanjông,0.86,2,0.90
sanggop,sanggôp,0.86,1,1.00
sanggoi,sanggôi,0.86,1,1.00
sane,sanè,0.75,1,1.00
sandewara,sandéwara,0.89,1,1.00
samporeuna,sampôreuna,0.90,1,1.00
sampoh,sampôh,0.83,2,0.90
saloran,salôran,0.86,1,1.00
salop,salôp,0.80,2,0.90
salen,salén,0.80,3,0.80
saleh,salèh,0.80,2,0.90
salee,salèe,0.80,2,0.90
saket,sakét,0.80,1,1.00
sagop,sagôp,0.80,2,0.90
sagee,sagèe,0.80,1,1.00
saengan,saéngan,0.86,1,1.00
sabong,sabông,0.83,1,1.00
sabon,sabôn,0.80,3,0.80
sabe,sabé,0.75,2,0.90
s'en,s'èn,0.75,1,1.00
rusok,rusôk,0.80,2,0.90
runtoh,runtôh,0.83,1,1.00
rumpet,rumpét,0.83,1,1.00
rumeh,rumèh,0.80,1,1.00
rumbee,rumbèe,0.83,1,1.00
rujee,rujèe,0.80,1,1.00
roket,rokèt,0.80,1,1.00
,,0.00,0,0.00
ro,rô,0.50,7,0.40
rioh,riôh,0.75,2,0.90
rincong,rincông,0.86,1,1.00
rhot,rhôt,0.75,4,0.70
rhoi,rhôi,0.75,1,1.00
rhem,rhém,0.75,1,1.00
reutek,reuték,0.83,2,0.90
reuruntoh,reuruntôh,0.89,1,1.00
reuoh,reuôh,0.80,1,1.00
reuncong,reuncông,0.88,2,0.90
reudok,reudôk,0.83,1,1.00
reubot,reubôt,0.83,1,1.00
reubong,reubông,0.86,1,1.00
reuboh,reubôh,0.83,4,0.70
resimen,resimèn,0.86,1,1.00
resep,resèp,0.80,1,1.00
rektor,rèktor,0.83,2,0.90
rekening,rèkening,0.88,1,1.00
reflektor,réflèktor,0.78,1,1.00
meusulet,meusulét,0.88,1,1.00
rawot,rawôt,0.80,1,1.00
raong,raông,0.80,1,1.00
ranteng,ranténg,0.86,1,1.00
rante,ranté,0.80,1,1.00
ransom,ransôm,0.83,1,1.00
rangkoi,rangkôi,0.86,1,1.00
ranggong,ranggông,0.88,1,1.00
rampeng,rampéng,0.86,1,1.00
raminet,raminèt,0.86,1,1.00
rambong,rambông,0.86,2,0.90
rambee,rambèe,0.83,1,1.00
raket,rakèt,0.80,1,1.00
raket,rakèt,0.80,1,1.00
radio,radiô,0.80,1,1.00
racon,racôn,0.80,1,1.00
puwet,puwét,0.80,2,0.90
puweh,puwèh,0.80,2,0.90
puwajeb,puwajéb,0.86,1,1.00
putoh-putoh,putôh-putôh,0.82,1,1.00
putoh,putôh,0.80,2,0.90
puteng,puténg,0.83,1,1.00
puteh,putôh,0.80,2,0.90
pureh,puréh,0.80,2,0.90
puree,purèe,0.80,1,1.00
puputoh,puputôh,0.86,1,1.00
puputeh,puputôh,0.86,1,1.00
pupuleh,pupuléh,0.86,1,1.00
pupiyoh,pupiyôh,0.86,1,1.00
puphon,puphôn,0.83,1,1.00
pupansion,pupansiôn,0.89,1,1.00
puntong,puntông,0.86,2,0.90
punggong,punggông,0.88,1,1.00
punggok,punggôk,0.86,1,1.00
pumungken,pumungkén,0.89,1,1.00
pumeungkleh,pumeungklèh,0.91,1,1.00
pumeulek,pumeulèk,0.88,1,1.00
pumeukleh,pumeuklèh,0.89,1,1.00
pumerdeka,pumerdèka,0.89,1,1.00
pumasen,pumasén,0.86,1,1.00
pumameh,pumamèh,0.86,1,1.00
pumalee,pumalèe,0.86,1,1.00
pulot,pulôt,0.80,3,0.80
puleh,puléh,0.80,3,0.80
pudiom,pudiôm,0.83,1,1.00
pucok,pucôk,0.80,2,0.90
pubusot,pubusôt,0.86,1,1.00
pubeutoi,pubeutôi,0.88,1,1.00
pubeusot,pubeusôt,0.88,1,1.00
pubeureutoh,pubeureutôh,0.91,1,1.00
pubeungeh,pubeungèh,0.89,1,1.00
pubangket,pubangkét,0.89,1,1.00
pubandeng,pubandéng,0.89,1,1.00
proyektor,proyèktor,0.89,1,1.00
proteh,protèh,0.83,1,1.00
prospektus,prospèktus,0.90,1,1.00
presidium,prèsidium,0.89,1,1.00
presiden,prèsidèn,0.75,1,1.00
preh,prèh,0.75,4,0.70
predikat,prèdikat,0.88,1,1.00
pre,pré,0.67,1,1.00
praho,prahô,0.80,1,1.00
potokopi,pôtôkopi,0.75,1,1.00
pot-pot,pôt-pôt,0.71,1,1.00
porselen,porselén,0.88,1,1.00
politeknik,politèknik,0.90,1,1.00
polem,polém,0.80,1,1.00
plok,plôk,0.75,2,0.90
planet,planèt,0.83,1,1.00
piyoh,piyôh,0.80,1,1.00
pipet,pipèt,0.80,1,1.00
pinto,pintô,0.80,1,1.00
pilem,pilém,0.80,1,1.00
pileh,piléh,0.80,2,0.90
pikeran,pikéran,0.86,1,1.00
pike,piké,0.75,1,1.00
picet,picét,0.80,1,1.00
phon-phon,phôn-phôn,0.78,1,1.00
phon,phôn,0.75,1,1.00
phet,phét,0.75,1,1.00
peuunyet,peuunyèt,0.88,1,1.00
peutundok,peutundôk,0.89,1,1.00
peutumpok-tumpok,peutumpôk-tumpôk,0.88,1,1.00
peutroh,peutrôh,0.86,2,0.90
peutho,peuthô,0.83,1,1.00
peuthee,peuthèe,0.86,1,1.00
peuteumbon,peuteumbôn,0.90,1,1.00
peutakot,peutakôt,0.88,1,1.00
peususon,peususôn,0.88,1,1.00
peuseupot,peuseupôt,0.89,1,1.00
peusambong,peusambông,0.90,1,1.00
peurisee,peurisèe,0.88,1,1.00
peureute,peureuté,0.88,1,1.00
peureuseh,peureuséh,0.89,1,1.00
peuraho,peurahô,0.86,1,1.00
