Keyword,Expected,Algorithm Accuracy Result,Priority Number,Recommendation Accuracy Result
peunyareng,peunyaréng,0.90,1,1.00
pileuh,piléuh,0.83,1,1.00
pilehan,piléhan,0.86,1,1.00
pijet,pijét,0.80,2,0.90
peutron,peutrôn,0.86,1,1.00
peuteuntee,peuteuntèe,0.90,1,1.00
peutenah,peuténah,0.88,1,1.00
peutaot,peutaôt,0.86,1,1.00
peutalo,peutalô,0.86,1,1.00
peutaklok,peutaklôk,0.89,1,1.00
peusare,peusaré,0.86,1,1.00
peuroh,peurôh,0.83,2,0.90
peurhot,peurhôt,0.86,1,1.00
peureusen,peureusèn,0.89,1,1.00
peureumen,peureumèn,0.89,1,1.00
peureulee,peureulèe,0.89,1,1.00
peureudee,peureudèe,0.89,1,1.00
peunyunteng,peunyunténg,0.91,1,1.00
peunteng,peunténg,0.88,1,1.00
peunileh,peuniléh,0.88,1,1.00
peungaseh,peungaséh,0.89,1,1.00
peuneng,peunèng,0.86,1,1.00
peulunco,peuluncô,0.88,1,1.00
peulicen,peulicén,0.88,1,1.00
peulampong,peulampông,0.90,1,1.00
meusilang-saleng,meusilang-saléng,0.94,1,1.00
meuseuliseh,meuseuliséh,0.91,1,1.00
meusare,meusaré,0.86,1,1.00
meusampeng,meusampéng,0.90,1,1.00
meusagop,meusagôp,0.88,1,1.00
meureuoh,meureuôh,0.88,1,1.00
meurdehka,meurdèhka,0.89,1,1.00
meuratoh,meuratôh,0.88,1,1.00
meuranggong,meuranggông,0.91,1,1.00
meurajalela,meurajalèla,0.91,1,1.00
meuracon,meuracôn,0.88,1,1.00
meupeungaroh,meupeungarôh,0.92,1,1.00
peanyaket,peanyakét,0.89,1,1.00
peunutoh,peunutôh,0.88,1,1.00
peunilek,peunilék,0.88,1,1.00
peungikot,peungikôt,0.89,1,1.00
peungaroh,peungarôh,0.89,1,1.00
peuneuyoh,peuneuyôh,0.89,1,1.00
peundukong,peundukông,0.90,1,1.00
peunajoh,peunajôh,0.88,1,1.00
peulindong,peulindông,0.90,1,1.00
peulhok,peulhôk,0.86,1,1.00
peuleugot,peuleugôt,0.89,2,0.90
peulet,peulét,0.83,2,0.90
peulaken,peulakén,0.88,1,1.00
peulagot,peulagôt,0.88,1,1.00
peulabohan,peulabôhan,0.90,1,1.00
peulabo,peulabô,0.86,1,1.00
peukurong,peukurông,0.89,1,1.00
peukupong,peukupông,0.89,1,1.00
peukeureuteng,peukeureuténg,0.92,1,1.00
peukeundo,peukeundô,0.89,1,1.00
peukeumbong,peukeumbông,0.91,1,1.00
peukeujot,peukeujôt,0.89,1,1.00
peukabeh,peukabèh,0.88,1,1.00
peujok,peujôk,0.83,1,1.00
peujeuoh,peujeuôh,0.88,1,1.00
peujayeh,peujayéh,0.88,1,1.00
peugule,peugulé,0.86,1,1.00
meuseuke,meuseuké,0.88,1,1.00
meusen,meusén,0.83,1,1.00
meusambong,meusambông,0.90,1,1.00
meusaeng,meusaéng,0.88,1,1.00
meuraong,meuraông,0.88,1,1.00
meurante,meuranté,0.88,1,1.00
meurandeh,meurandéh,0.89,1,1.00
meurabe,meurabé,0.86,1,1.00
meunurot,meunurôt,0.88,1,1.00
meumusoh,meumusôh,0.88,1,1.00
meulunco,meuluncô,0.88,1,1.00
meulonte,meulônté,0.75,1,1.00
meulindong,meulindông,0.90,1,1.00
meulambong,meulambông,0.90,1,1.00
meulaen,meulaèn,0.86,1,1.00
meukleh,meuklèh,0.86,1,1.00
peujampoh,peujampôh,0.89,1,1.00
peuile,peuilé,0.83,2,0.90
peuhubong,peuhubông,0.89,1,1.00
peugumbok,peugumbôk,0.89,1,1.00
peugleh,peugléh,0.86,1,1.00
peuget,peugèt,0.83,4,0.70
peugadee,peugadèe,0.88,1,1.00
peugabong,peugabông,0.89,1,1.00
peueleh,peuèlèh,0.71,3,0.80
peuek,peuék,0.80,3,0.80
peudeh,peudéh,0.83,2,0.90
peudamee,peudamèe,0.88,1,1.00
peucre-bre,peucré-bré,0.80,1,1.00
peucoh-coh,peucôh-côh,0.80,1,1.00
peucaye,peucayé,0.86,2,0.90
peuayon-ayon,peuayôn-ayôn,0.83,1,1.00
peuayon,peuayôn,0.86,1,1.00
peuaseng,peuaséng,0.88,1,1.00
peuase,peuasé,0.83,1,1.00
peuangen-angen,peuangèn-angèn,0.86,1,1.00
peuanco,peuancô,0.86,1,1.00
meunarek,meunarék,0.88,1,1.00
peuampon,peuampôn,0.88,1,1.00
peualoh,peualôh,0.86,1,1.00
peuagong,peuagông,0.88,1,1.00
peuabeh,peuabéh,0.86,1,1.00
petran,pètran,0.83,2,0.90
peteunah,péteunah,0.88,2,0.90
pesta,pèsta,0.80,2,0.90
pers'en,pers'èn,0.86,1,1.00
periskop,periskôp,0.88,1,1.00
peodal,pèodal,0.83,1,1.00
pentilasi,pèntilasi,0.89,1,1.00
peng,pèng,0.75,1,1.00
peh,péh,0.67,3,0.80
payong,payông,0.83,1,1.00
patoh,patôh,0.80,1,1.00
pateh,patôh,0.80,2,0.90
parlemen,parlemèn,0.88,1,1.00
parek,parék,0.80,1,1.00
pante,panté,0.80,1,1.00
pangulee,pangulèe,0.88,1,1.00
panggong,panggông,0.88,1,1.00
pancopet,pancopèt,0.88,1,1.00
palet,palét,0.80,2,0.90
paleng,paléng,0.83,1,1.00
paleh,paléh,0.80,1,1.00
paket,pakèt,0.80,1,1.00
meulilet,meulilét,0.88,1,1.00
meulek,meulèk,0.83,1,1.00
meulapeh-lapeh,meulapéh-lapéh,0.86,1,1.00
meulakee,meulakèe,0.88,1,1.00
meulabo,meulabô,0.86,1,1.00
meuklep,meuklèp,0.86,1,1.00
meukilok-kilok,meukilôk-kilôk,0.86,1,1.00
meukeutupep,meukeutupèp,0.91,1,1.00
eunchok,eunchôk,0.86,1,1.00
pena,pèna,0.75,2,0.90
pe,pè,0.50,5,0.60
patot,patôt,0.80,2,0.90
patong,patông,0.83,1,1.00
patee,patèe,0.80,1,1.00
pasokan,pasôkan,0.86,1,1.00
paseh,pasèh,0.80,1,1.00
parot,parôt,0.80,2,0.90
pareksa,paréksa,0.86,1,1.00
panton,pantôn,0.83,2,0.90
pansion,pansiôn,0.86,1,1.00
pangkee,pangkèe,0.86,1,1.00
panggoi,panggôi,0.86,1,1.00
pangeran,pangèran,0.88,1,1.00
pamplet,pamplét,0.86,1,1.00
palong,paléng,0.83,1,1.00
palem,palém,0.80,2,0.90
palee,palèe,0.80,2,0.90
pake,paké,0.75,2,0.90
pajoh,pajôh,0.80,1,1.00
pade,padé,0.75,1,1.00
pacok,pacôk,0.80,1,1.00
pabrek,pabrék,0.83,1,1.00
on,ôn,0.50,4,0.70
meukemah,meukèmah,0.88,1,1.00
meukawen,meukawén,0.88,1,1.00
meujuntee,meujuntèe,0.89,1,1.00
meuireng-ireng,meuiréng-iréng,0.86,1,1.00
meuikot,meuikôt,0.86,1,1.00
meuhoi,meuhôi,0.83,2,0.90
meugule,meugulé,0.86,1,1.00
mengreb,mengréb,0.86,1,1.00
meugeurupeng,meugeurupéng,0.92,1,1.00
meugampong,meugampông,0.90,1,1.00
meudrep-drep,meudrép-drép,0.83,1,1.00
meudesya,meudèsya,0.88,1,1.00
meucureh,meucuréh,0.88,1,1.00
meuceh,meucéh,0.83,1,1.00
meubeude,meubeudé,0.88,1,1.00
meuato,meuatô,0.83,1,1.00
meuase,meuasé,0.83,2,0.90
meuampong,meuampông,0.89,1,1.00
meuadee,meuadèe,0.86,1,1.00
meu'en-meu'en,meu'èn-meu'én,0.85,1,1.00
merek,mèrèk,0.60,1,1.00
men,mén,0.67,4,0.70
meja,mèja,0.75,1,1.00
meh,mèh,0.67,1,1.00
mbong,mbông,0.80,2,0.90
mateh,matéh,0.80,1,1.00
mate,maté,0.75,3,0.80
masineh,masinèh,0.86,1,1.00
orkeh,orkèh,0.80,1,1.00
ok,ék,0.50,4,0.70
meujareng,meujaréng,0.89,1,1.00
meujanggot,meujanggôt,0.90,1,1.00
meujamee,meujamèe,0.88,1,1.00
meuikot-ikot,meuikôt-ikôt,0.83,1,1.00
meuhimpon,meuhimpôn,0.89,1,1.00
meugule-gule,meugulé-gulé,0.83,1,1.00
mengrop-grop,mengrôp-grôp,0.83,1,1.00
meugogo,meugôgô,0.71,3,0.80
meuglong,meuglông,0.88,1,1.00
meugandeng,meugandéng,0.90,1,1.00
meudroh,meudrôh,0.86,2,0.90
meudeungong,meudeungông,0.91,1,1.00
meucatet,meucatèt,0.88,1,1.00
meubulee,meubulèe,0.88,1,1.00
meuangkot,meuangkôt,0.89,1,1.00
meuampong-ampong,meuampông-ampông,0.88,1,1.00
meuabee,meuabèe,0.86,1,1.00
meu'en,meu'èn,0.83,1,1.00
mete,mèe,0.50,10,0.10
mentega,mentèga,0.86,1,1.00
melodi,mèlodi,0.83,1,1.00
Mee,mèe,0.33,1,1.00
mee,mèe,0.67,1,1.00
mbon,mbôn,0.75,1,1.00
masen,masén,0.80,1,1.00
nyen,nyèn,0.75,1,1.00
naseb,naséb,0.80,1,1.00
musoh,musôh,0.80,2,0.90
musikben,musikbèn,0.88,1,1.00
mupalet,mupalét,0.86,1,1.00
munaph'ek,munaph'èk,0.89,1,1.00
mudek,mudèk,0.80,1,1.00
mubungkoh,mubungkôh,0.89,1,1.00
muboi-boi,mubôi-bôi,0.78,1,1.00
muble-ble,mublè-blé,0.78,1,1.00
mubeda,mubèda,0.83,2,0.90
mubalek,mubalék,0.86,1,1.00
mubae,mubèe,0.80,1,1.00
nyeh,nyèh,0.75,1,1.00
numboi,numbôi,0.83,1,1.00
neulet,neulét,0.83,2,0.90
nek,nèk,0.67,2,0.90
mustahe,mustahé,0.86,1,1.00
musem,musém,0.80,1,1.00
muphom,muphôm,0.83,1,1.00
mupake,mupaké,0.83,1,1.00
mungken,mungkén,0.86,1,1.00
mumee,mumèe,0.80,1,1.00
muleh,mulèh,0.80,1,1.00
mubulee,mubulèe,0.86,1,1.00
mublet-blet,mublét-blét,0.82,1,1.00
mubee,mubèe,0.80,2,0.90
mubareh,mubaréh,0.86,1,1.00
motel,motèl,0.80,1,1.00
modernisasi,modèrnisasi,0.91,1,1.00
milimete,milimètè,0.75,1,1.00
milek,milék,0.80,2,0.90
mewah,mèwah,0.80,2,0.90
meuurot,meuurôt,0.86,1,1.00
meuunyet,meuunyèt,0.88,1,1.00
meutumpok,meutumpôk,0.89,2,0.90
meutron,meutrôn,0.86,1,1.00
meuto-to,meutô-tô,0.75,2,0.90
meuthon,meuthôn,0.86,1,1.00
menteuot,menteuôt,0.88,1,1.00
meutapeh,meutapéh,0.88,1,1.00
meutanggoh,meutanggôh,0.90,1,1.00
mantel,mantèl,0.83,1,1.00
mando,mandô,0.80,1,1.00
mameh,maméh,0.80,2,0.90
malem,malém,0.80,3,0.80
malee,malèe,0.80,2,0.90
mabok,mabôk,0.80,3,0.80
lusen,lusèn,0.80,1,1.00
moderen,modèrèn,0.71,2,0.90
misee,misèe,0.80,1,1.00
minet,minèt,0.80,1,1.00
milion,miliôn,0.83,1,1.00
mikroskop,mikrôskôp,0.78,1,1.00
meuturot-turot,meuturôt-turôt,0.86,1,1.00
meutudong,meutudông,0.89,1,1.00
meutitep,meutitèp,0.88,1,1.00
meutaroh,meutarôh,0.88,1,1.00
meutaot,meutaôt,0.86,1,1.00
meusyedara,meusyédara,0.90,1,1.00
meusurot,meusurôt,0.88,1,1.00
Maret,Marèt,0.80,2,0.90
manyet,manyèt,0.83,1,1.00
mantega,mantèga,0.86,1,1.00
mangkong,mangkông,0.88,1,1.00
maneh,manéh,0.80,1,1.00
malot,malôt,0.80,1,1.00
malee-malee,malèe-malèe,0.82,1,1.00
lungkee,lungkèe,0.86,1,1.00
lunceng,luncéng,0.86,1,1.00
lumpok,lumpôk,0.83,1,1.00
lumbem,lumbèm,0.83,1,1.00
luloh,lulôh,0.80,1,1.00
lukesan,lukésan,0.86,1,1.00
loteng,lotèng,0.83,1,1.00
lop,lôp,0.67,2,0.90
long,léng,0.75,2,0.90
lon,lôn,0.67,3,0.80
logat,lôgat,0.80,1,1.00
lisek,lisék,0.80,1,1.00
lipeh,lipéh,0.80,2,0.90
lingkok,lingkôk,0.86,1,1.00
linggeh,linggéh,0.86,1,1.00
lilet,lilét,0.80,1,1.00
lilen,lilèn,0.80,1,1.00
Ihon,Ihôn,0.75,4,0.70
leunde,leundé,0.83,1,1.00
leumbot,leumbôt,0.86,1,1.00
leuho,leuhô,0.80,4,0.70
leugot,leugôt,0.83,2,0.90
leubeng,leubéng,0.86,2,0.90
leubeh,leubèh,0.83,1,1.00
let,lét,0.67,2,0.90
lensa,lènsa,0.80,1,1.00
leklang,léklang,0.86,1,1.00
layee,layèe,0.80,1,1.00
lawet,lawét,0.80,1,1.00
lapeh,lapéh,0.80,1,1.00
lambong,lambông,0.86,1,1.00
lukeh,lukéh,0.80,1,1.00
lotre,lotré,0.80,1,1.00
lonte,lônté,0.60,1,1.00
lite,litè,0.75,1,1.00
linggong,linggông,0.88,1,1.00
likot,likôt,0.80,2,0.90
lhok,lhôk,0.75,5,0.60
Ihoh,Ihôh,0.75,3,0.80
Ihee,Ihèe,0.75,1,1.00
leungkong,leungkông,0.89,1,1.00
leumbeng,leumbéng,0.88,2,0.90
leubo,leubô,0.80,2,0.90
