Keyword,Expected,Algorithm Accuracy Result,Priority Number,Average Precision,Precision,Recall
yok,yôh,0.50,8,0.00,0.00,0.00
yoh,nyèh,0.60,10,0.00,0.00,0.00
weng,lông,0.60,10,1.00,0.10,0.10
weh,sôh,0.50,10,0.00,0.00,0.00
wase,hasé,0.60,8,1.00,0.10,0.10
wareh,garéh,0.67,6,1.00,0.30,0.30
wajek,wajéb,0.67,2,1.00,0.10,0.10
wajeb,waréh,0.50,9,1.00,0.10,0.10
utom,ukôm,0.60,6,1.00,0.10,0.10
utoh,uléh,0.60,6,1.00,0.10,0.10
usos,usé,0.50,6,1.00,0.10,0.10
use,ukeè,0.60,6,0.00,0.00,0.00
urotan,protèh,0.57,8,1.00,0.10,0.10
urosan,ukôran,0.57,6,1.00,0.10,0.10
urong,ujông,0.67,6,1.00,0.30,0.30
seukreng,seureulông,0.64,10,1.00,0.10,0.10
uree,ukeè,0.60,10,1.00,0.10,0.10
unyet,peuunyèt,0.56,10,1.00,0.10,0.10
untong,euntông,0.75,5,1.00,0.10,0.10
unggoi,panggôi,0.62,10,1.00,0.10,0.10
uleh,ulèe,0.60,9,1.00,0.10,0.10
ulee,ukeè,0.60,9,1.00,0.30,0.30
ukoran,pètran,0.57,10,1.00,0.20,0.20
ukom,èseukrém,0.50,7,1.00,0.10,0.10
uko,usé,0.50,9,0.00,0.00,0.00
ukee,ukôm,0.60,10,1.00,0.20,0.20
uke,cukô,0.60,10,1.00,0.10,0.10
ujop,ujông,0.50,8,1.00,0.10,0.10
ujong,tutôong,0.62,9,1.00,0.20,0.20
udep,tudôh,0.50,10,1.00,0.10,0.10
tutoong,tulông,0.57,9,1.00,0.10,0.10
tuto,teutôp,0.57,10,1.00,0.10,0.10
turonan,tujôan,0.57,9,1.00,0.10,0.10
turon-muron,turônan,0.45,8,1.00,0.10,0.10
tupee,tipèe,0.67,4,1.00,0.20,0.20
tungkoi,tangkéh,0.62,8,1.00,0.10,0.10
tumpok,lumpôk,0.71,4,1.00,0.10,0.10
tumpoi,témpé,0.57,10,1.00,0.10,0.10
tumet,teumeutôt,0.60,6,1.00,0.20,0.20
tumon,teumbôn,0.62,9,1.00,0.20,0.20
tulong,gulông,0.71,8,1.00,0.20,0.20
