Keyword,Expected,Algorithm Accuracy Result,Priority Number,Average Precision,Precision,Recall
yok,yôh,0.50,8,0.00,0.00,0.00
yoh,yôh,0.75,1,0.00,0.00,0.00
weng,wéng,0.80,1,0.00,0.00,0.00
weh,waréh,0.50,9,0.00,0.00,0.00
wase,wasé,0.80,1,0.00,0.00,0.00
wareh,waréh,0.83,1,0.00,0.00,0.00
wajek,wajéb,0.67,2,0.00,0.00,0.00
wajeb,waréh,0.50,9,0.00,0.00,0.00
utom,utôh,0.60,4,0.00,0.00,0.00
utoh,utôm,0.60,5,0.00,0.00,0.00
MAP Results:,,,,0.00
MAP Percentage Accuracy:,,,,0.0%
