No,Keyword,Expectation,Algorithm Accuracy Result,Priority Number,Average Precision
149,supe,supé,0.88,1,0.00
150,sunteng,sunténg,0.94,1,1.00
151,sunggoh-sunggoh,sunggôh-sunggôh,0.96,1,1.00
152,sulotan,sulôtan,0.93,1,1.00
153,sulong,sulông,0.92,1,1.00
154,sulet,sulét,0.91,1,1.00
155,suleng,sulông,0.92,4,1.00
156,sukee,sukèe,0.91,1,1.00
157,sukarela,sukarèla,0.96,1,1.00
158,sugot,sugôt,0.91,1,1.00
159,sudep,sudép,0.91,1,1.00
160,strop,strôp,0.91,1,1.00
161,sosah,sôsah,0.88,1,0.00
162,sop,silophôn,0.81,7,1.00
163,soneta,sonèta,0.92,1,1.00
164,sohsah,sôhsah,0.90,1,1.00
165,soh,silophôn,0.81,5,1.00
166,skema,skèma,0.89,1,0.00
167,siribee,siribèe,0.95,1,1.00
168,sereutoh,sereutôh,0.96,1,1.00
169,sirep,sirép,0.91,1,1.00
170,sirene,sikureuengplôh,0.85,7,0.00
171,sipre,sipré,0.92,2,1.00
172,sipot,sipôt,0.91,1,1.00
173,siploh,siplôh,0.93,1,1.00
174,singkee,singkèe,0.95,1,1.00
175,singet,singèt,0.93,1,1.00
176,sinde,sindé,0.92,1,1.00
177,simeureulet,simeureulét,0.97,1,1.00
178,silophon,silophôn,0.96,1,1.00
179,sikureuengploh,sikureuengplôh,0.98,1,1.00
180,sikrop,sikrôp,0.93,1,1.00
181,siklep-siklap,siklép-siklap,0.97,1,1.00
182,sijudo,sijudô,0.94,1,1.00
183,sibandeng,sibandéng,0.96,1,1.00
184,seurene,seurenè,0.95,1,1.00
185,seurumpet,seurumpét,0.96,1,1.00
186,seureleng,seureulông,0.96,1,1.00
187,seureulong,seureulông,0.97,1,1.00
188,seurabee,seurabèe,0.96,1,1.00
189,seupot,seupôt,0.93,2,1.00
190,seupoh,seupôh,0.93,1,1.00
191,seupet,seupôt,0.93,1,1.00
192,seunuson,seunusôn,0.96,1,1.00
193,seunungkee,seunungkèe,0.97,1,1.00
194,seunte,seunté,0.94,2,1.00
195,seuneuron,seuneurôn,0.96,1,1.00
196,seuneupet,seuneupét,0.96,1,1.00
197,seuneulhong,seuneulhông,0.97,1,1.00
198,seunareng,seunaréng,0.96,1,1.00
199,seunambong,seunambông,0.97,1,1.00
200,seunalop,seunalôp,0.96,3,1.00
201,seunalen,seunalèn,0.96,2,1.00
202,seumulet,seumulét,0.96,1,1.00
203,seumporna,seumpôrna,0.96,1,1.00
204,seumpet,seumpét,0.95,1,1.00
205,seumike,seumiké,0.95,1,1.00
206,seumeulhoh,seumeulhôh,0.97,1,1.00
207,seumen,seumèn,0.93,2,1.00
208,seumbo,seumbô,0.94,1,1.00
209,seumateh,seumatéh,0.96,1,1.00
210,seumate,seumaté,0.95,2,1.00
211,seuliseh,seuliséh,0.96,1,1.00
212,seulimeng,seulimèng,0.96,1,1.00
